thisN,thisTrialN,thisRepN,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,ElementExampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,ElementExampleFrame1.stopped,ElementExampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,ElementExampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,blank800.stopped,FixationCrossBlank800.stopped,elementMotionExplained.started,keyElementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,elementMotionExplained.stopped,blank160.started,text.started,text.stopped,blank160.stopped,groupMotionExplained.started,keyGroupMotionExplained.started,text_2.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0037893999833613634,0.015049899986479431,0.015049899986479431,0.6356633999967016,space,0.6106680000084452,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-15_20h32.24.950,Teamprojekt,,2025.1.0,86.99351291827551,2026-06-15 20h32.29.622725 +0200,
0,0,0,0,0,0,0,,,,,0.6416933999862522,,,,,,,,,0.6359977999818511,0.6416933999862522,0.6416933999862522,0.6416933999862522,0.6416933999862522,0.8429119999636896,0.8429119999636896,0.8429119999636896,0.8429119999636896,0.8313440000056289,0.8313761999597773,0.8429119999636896,0.8429119999636896,0.8429119999636896,0.8429119999636896,1.0419403999694623,1.0419403999694623,1.0419403999694623,1.0419403999694623,1.030659599986393,1.0306938999565318,1.0419403999694623,1.8312322999699973,,,,,,,,,,,,,,,,,001,2026-06-15_20h32.24.950,Teamprojekt,,2025.1.0,86.99351291827551,2026-06-15 20h32.29.622725 +0200,
1,0,1,1,0,1,0,,,,,1.8418706000084057,,,,,,,,,1.831381500000134,1.8418706000084057,1.8418706000084057,1.8418706000084057,1.8418706000084057,2.0427048999699764,2.0427048999699764,2.0427048999699764,2.0427048999699764,2.032241699984297,2.0322737999958917,2.0427048999699764,2.0427048999699764,2.0427048999699764,2.0427048999699764,2.2420532999676652,2.2420532999676652,2.2420532999676652,2.2420532999676652,2.231381799967494,2.231425100006163,2.2420532999676652,3.0315717000048608,3.042751999979373,,,,,,,,,,,,,,,,001,2026-06-15_20h32.24.950,Teamprojekt,,2025.1.0,86.99351291827551,2026-06-15 20h32.29.622725 +0200,
2,0,2,2,0,2,0,,,,,3.042751999979373,,,,,,,,,3.0316995999892242,3.042751999979373,3.042751999979373,3.042751999979373,3.042751999979373,3.2420800999971107,3.2420800999971107,3.2420800999971107,3.2420800999971107,3.2315866999560967,3.2316364999860525,3.2420800999971107,3.2420800999971107,3.2420800999971107,3.2420800999971107,3.441673699999228,3.441673699999228,3.441673699999228,3.441673699999228,3.431187400012277,3.431218799960334,3.441673699999228,4.23061540001072,4.242072199995164,,,,,,,,,,,,,,,,001,2026-06-15_20h32.24.950,Teamprojekt,,2025.1.0,86.99351291827551,2026-06-15 20h32.29.622725 +0200,
3,0,3,3,0,3,0,,,,,4.242072199995164,,,,,,,,,4.230776499956846,4.242072199995164,4.242072199995164,4.242072199995164,4.242072199995164,4.441931799985468,4.441931799985468,4.441931799985468,4.441931799985468,4.431526799977291,4.431575199996587,4.441931799985468,4.441931799985468,4.441931799985468,4.441931799985468,4.642313699994702,4.642313699994702,4.642313699994702,4.642313699994702,4.631473699992057,4.631515999964904,4.642313699994702,5.430525099975057,5.442518999974709,,,,,,,,,,,,,,,,001,2026-06-15_20h32.24.950,Teamprojekt,,2025.1.0,86.99351291827551,2026-06-15 20h32.29.622725 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.430630499962717,5.442518999974709,5.442518999974709,space,7.637324799958151,None,13.086589799961075,,,,,,,,,001,2026-06-15_20h32.24.950,Teamprojekt,,2025.1.0,86.99351291827551,2026-06-15 20h32.29.622725 +0200,
0,0,0,,,,,0,0,0,0,13.097096899989992,,,,,,,,,13.087069900007918,13.097096899989992,13.097096899989992,13.097096899989992,13.097096899989992,13.296608600008767,13.296608600008767,13.296608600008767,13.296608600008767,13.285564599966165,13.442176299984567,13.452450199984014,13.452450199984014,13.452450199984014,13.452450199984014,13.652062500012107,13.652062500012107,13.652062500012107,13.652062500012107,13.64127159997588,13.641302999982145,13.652062500012107,14.441168299992569,14.453312999976333,,,,,,,,13.285600500006694,13.296608600008767,13.452450199984014,13.442148300004192,,,,,001,2026-06-15_20h32.24.950,Teamprojekt,,2025.1.0,86.99351291827551,2026-06-15 20h32.29.622725 +0200,
1,0,1,,,,,1,0,1,0,14.453312999976333,,,,,,,,,14.4413663999876,14.453312999976333,14.453312999976333,14.453312999976333,14.453312999976333,14.652589200006332,14.652589200006332,14.652589200006332,14.652589200006332,14.641794099996332,14.796930300013628,14.807638600002974,14.807638600002974,14.807638600002974,14.807638600002974,15.0078036999912,15.0078036999912,15.0078036999912,15.0078036999912,14.99755929998355,14.997592100000475,15.0078036999912,15.79759789997479,15.807837800006382,,,,,,,,14.641826600010972,14.652589200006332,14.807638600002974,14.796897399995942,,,,,001,2026-06-15_20h32.24.950,Teamprojekt,,2025.1.0,86.99351291827551,2026-06-15 20h32.29.622725 +0200,
2,0,2,,,,,2,0,2,0,15.807837800006382,,,,,,,,,15.797822799999267,15.807837800006382,15.807837800006382,15.807837800006382,15.807837800006382,16.008743799990043,16.008743799990043,16.008743799990043,16.008743799990043,15.996901299979072,16.152358099992853,16.16387049999321,16.16387049999321,16.16387049999321,16.16387049999321,16.363261199963745,16.363261199963745,16.363261199963745,16.363261199963745,16.352305400010664,16.352349399996456,16.363261199963745,17.152273999992758,17.16372319997754,,,,,,,,15.99693289998686,16.008743799990043,16.16387049999321,16.152319699991494,,,,,001,2026-06-15_20h32.24.950,Teamprojekt,,2025.1.0,86.99351291827551,2026-06-15 20h32.29.622725 +0200,
3,0,3,,,,,3,0,3,0,17.16372319997754,,,,,,,,,17.152417799981777,17.16372319997754,17.16372319997754,17.16372319997754,17.16372319997754,17.364048599964008,17.364048599964008,17.364048599964008,17.364048599964008,17.352594700001646,17.507706600008532,17.519140499993227,17.519140499993227,17.519140499993227,17.519140499993227,17.719513699994422,17.719513699994422,17.719513699994422,17.719513699994422,17.707773800008,17.707806999969762,17.719513699994422,18.509720099973492,,,,,,,,,17.35263269999996,17.364048599964008,17.519140499993227,17.507676999957766,,,,,001,2026-06-15_20h32.24.950,Teamprojekt,,2025.1.0,86.99351291827551,2026-06-15 20h32.29.622725 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5098760999972,18.519066799955908,18.519066799955908,,,,,,,,,
