thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,ElementExampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,ElementExampleFrame1.stopped,ElementExampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,ElementExampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,keyElementMotionExplained.started,textElementMotion.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,textBlank160.started,textBlank160.stopped,blank160.stopped,groupMotionExplained.started,keyGroupMotionExplained.started,textGroupMotion.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.0029446000116877258,0.0087682000012137,0.0087682000012137,75.59949150000466,space,75.57297620002646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h39.18.913,Teamprojekt,,2025.1.0,85.99125126256376,2026-06-16 17h39.27.006545 +0200,
0,0,0,,,0,0,0,0,,,,,,,,,75.62255119998008,,,,,,,,,75.59983439999633,75.62255119998008,75.62255119998008,75.62255119998008,75.62255119998008,75.82082570000784,75.82082570000784,75.82082570000784,75.82082570000784,75.81000669999048,75.81003839999903,75.82082570000784,75.82082570000784,75.82082570000784,75.82082570000784,76.02112349995878,76.02112349995878,76.02112349995878,76.02112349995878,76.0097751999856,76.00980749999871,76.02112349995878,76.82128909998573,76.80935499997577,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h39.18.913,Teamprojekt,,2025.1.0,85.99125126256376,2026-06-16 17h39.27.006545 +0200,
1,0,1,,,1,0,1,0,,,,,,,,,76.82128909998573,,,,,,,,,76.80952469998738,76.82128909998573,76.82128909998573,76.82128909998573,76.82128909998573,77.02054820000194,77.02054820000194,77.02054820000194,77.02054820000194,77.01108610001393,77.01113689999329,77.02054820000194,77.02054820000194,77.02054820000194,77.02054820000194,77.22165169997606,77.22165169997606,77.22165169997606,77.22165169997606,77.20983129995875,77.20987679995596,77.22165169997606,,78.00993890000973,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h39.18.913,Teamprojekt,,2025.1.0,85.99125126256376,2026-06-16 17h39.27.006545 +0200,
2,0,2,,,2,0,2,0,,,,,,,,,78.02110949996859,,,,,,,,,78.01012240001,78.02110949996859,78.02110949996859,78.02110949996859,78.02110949996859,78.22115840000333,78.22115840000333,78.22115840000333,78.22115840000333,78.2094355999725,78.2094805999659,78.22115840000333,78.22115840000333,78.22115840000333,78.22115840000333,78.42107089998899,78.42107089998899,78.42107089998899,78.42107089998899,78.40928049996728,78.40931289998116,78.42107089998899,,79.2100197999971,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h39.18.913,Teamprojekt,,2025.1.0,85.99125126256376,2026-06-16 17h39.27.006545 +0200,
3,0,3,,,3,0,3,0,,,,,,,,,79.22052929998608,,,,,,,,,79.21025179995922,79.22052929998608,79.22052929998608,79.22052929998608,79.22052929998608,79.42093149997527,79.42093149997527,79.42093149997527,79.42093149997527,79.41004039999098,79.4100754999672,79.42093149997527,79.42093149997527,79.42093149997527,79.42093149997527,79.6208437999594,79.6208437999594,79.6208437999594,79.6208437999594,79.6095542999683,79.60958439996466,79.6208437999594,,80.4107468999573,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h39.18.913,Teamprojekt,,2025.1.0,85.99125126256376,2026-06-16 17h39.27.006545 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.41094009997323,80.42020950000733,80.42020950000733,87.77588599995943,space,7.345448299951386,None,,,,,,,,,,,,,001,2026-06-16_17h39.18.913,Teamprojekt,,2025.1.0,85.99125126256376,2026-06-16 17h39.27.006545 +0200,
0,0,0,,,,,,,0,0,0,0,,,,,87.78644820000045,,,,,,,,,87.77633329998935,87.78644820000045,87.78644820000045,87.78644820000045,87.78644820000045,87.98628509999253,87.98628509999253,87.98628509999253,87.98628509999253,87.9759844999644,88.13222400000086,88.14285589999054,88.14285589999054,88.14285589999054,88.14285589999054,88.34192509995773,88.34192509995773,88.34192509995773,88.34192509995773,88.33122180000646,88.33127510000486,88.34192509995773,,89.13172100001248,,,,,,,,87.97601499996381,87.98628509999253,88.14285589999054,88.13217659998918,,,,,,,,,001,2026-06-16_17h39.18.913,Teamprojekt,,2025.1.0,85.99125126256376,2026-06-16 17h39.27.006545 +0200,
1,0,1,,,,,,,1,0,1,0,,,,,89.14184549998026,,,,,,,,,89.13194130000193,89.14184549998026,89.14184549998026,89.14184549998026,89.14184549998026,89.34307030000491,89.34307030000491,89.34307030000491,89.34307030000491,89.3311481999699,89.48770910000894,89.49733109999215,89.49733109999215,89.49733109999215,89.49733109999215,89.69746940000914,89.69746940000914,89.69746940000914,89.69746940000914,89.68649599998025,89.68655469996156,89.69746940000914,,90.4872452999698,,,,,,,,89.3311984000029,89.34307030000491,89.49733109999215,89.48766759998398,,,,,,,,,001,2026-06-16_17h39.18.913,Teamprojekt,,2025.1.0,85.99125126256376,2026-06-16 17h39.27.006545 +0200,
2,0,2,,,,,,,2,0,2,0,,,,,90.49738700001035,,,,,,,,,90.48752119997516,90.49738700001035,90.49738700001035,90.49738700001035,90.49738700001035,90.69751019997057,90.69751019997057,90.69751019997057,90.69751019997057,90.68744249996962,90.84187020000536,90.85279769997578,90.85279769997578,90.85279769997578,90.85279769997578,91.05349459999707,91.05349459999707,91.05349459999707,91.05349459999707,91.04296659998363,91.04301389999455,91.05349459999707,91.85315749997972,91.84180250001373,,,,,,,,90.68749439995736,90.69751019997057,90.85279769997578,90.84183629998006,,,,,,,,,001,2026-06-16_17h39.18.913,Teamprojekt,,2025.1.0,85.99125126256376,2026-06-16 17h39.27.006545 +0200,
3,0,3,,,,,,,3,0,3,0,,,,,91.85315749997972,,,,,,,,,91.84193649998633,91.85315749997972,91.85315749997972,91.85315749997972,91.85315749997972,92.05279779998818,92.05279779998818,92.05279779998818,92.05279779998818,92.04248229996301,92.1984705000068,92.20823210000526,92.20823210000526,92.20823210000526,92.20823210000526,92.40911680000136,92.40911680000136,92.40911680000136,92.40911680000136,92.39730389998294,92.39733509998769,92.40911680000136,,93.1978254999849,,,,,,,,92.04251349996775,92.05279779998818,92.20823210000526,92.19844159996137,,,,,,,,,001,2026-06-16_17h39.18.913,Teamprojekt,,2025.1.0,85.99125126256376,2026-06-16 17h39.27.006545 +0200,
