thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,ElementExampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,ElementExampleFrame1.stopped,ElementExampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,ElementExampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,keyElementMotionExplained.started,textElementMotion.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,textBlank160.started,textBlank160.stopped,blank160.stopped,groupMotionExplained.started,keyGroupMotionExplained.started,textGroupMotion.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.0031617999775335193,0.008992699964437634,0.008992699964437634,10.752492800005712,space,10.73621510004159,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h47.02.552,Teamprojekt,,2025.1.0,88.32837663065656,2026-06-16 17h47.07.030544 +0200,
0,0,0,,,0,0,0,0,,,,,,,,,10.758352599979844,,,,,,,,,10.752815799962264,10.758352599979844,10.758352599979844,10.758352599979844,10.758352599979844,10.959406399982981,10.959406399982981,10.959406399982981,10.959406399982981,10.947646399959922,10.947678599972278,10.959406399982981,10.959406399982981,10.959406399982981,10.959406399982981,11.158982599969022,11.158982599969022,11.158982599969022,11.158982599969022,11.14794949995121,11.147981099958997,11.158982599969022,11.958980800001882,11.94755639997311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h47.02.552,Teamprojekt,,2025.1.0,88.32837663065656,2026-06-16 17h47.07.030544 +0200,
1,0,1,,,1,0,1,0,,,,,,,,,11.958980800001882,,,,,,,,,11.947693699970841,11.958980800001882,11.958980800001882,11.958980800001882,11.958980800001882,12.160138299979735,12.160138299979735,12.160138299979735,12.160138299979735,12.14769620000152,12.14776029996574,12.160138299979735,12.160138299979735,12.160138299979735,12.160138299979735,12.358291799959261,12.358291799959261,12.358291799959261,12.358291799959261,12.348308799962979,12.348340999975335,12.358291799959261,13.159694299974944,13.147690799960401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h47.02.552,Teamprojekt,,2025.1.0,88.32837663065656,2026-06-16 17h47.07.030544 +0200,
2,0,2,,,2,0,2,0,,,,,,,,,13.159694299974944,,,,,,,,,13.147858799959067,13.159694299974944,13.159694299974944,13.159694299974944,13.159694299974944,13.3590802999679,13.3590802999679,13.3590802999679,13.3590802999679,13.348199000000022,13.348232399963308,13.3590802999679,13.3590802999679,13.3590802999679,13.3590802999679,13.559428299951833,13.559428299951833,13.559428299951833,13.559428299951833,13.548675599973649,13.548710500006564,13.559428299951833,14.358249699987937,14.347326699993573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h47.02.552,Teamprojekt,,2025.1.0,88.32837663065656,2026-06-16 17h47.07.030544 +0200,
3,0,3,,,3,0,3,0,,,,,,,,,14.358249699987937,,,,,,,,,14.347452899964992,14.358249699987937,14.358249699987937,14.358249699987937,14.358249699987937,14.55942209996283,14.55942209996283,14.55942209996283,14.55942209996283,14.547625099949073,14.54765799996676,14.55942209996283,14.55942209996283,14.55942209996283,14.55942209996283,14.759263799991459,14.759263799991459,14.759263799991459,14.759263799991459,14.747691900003701,14.747732999967411,14.759263799991459,,15.548127499991097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h47.02.552,Teamprojekt,,2025.1.0,88.32837663065656,2026-06-16 17h47.07.030544 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5482715999824,15.559186699974816,15.559186699974816,27.15799529996002,space,11.588219499972183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h47.02.552,Teamprojekt,,2025.1.0,88.32837663065656,2026-06-16 17h47.07.030544 +0200,
0,0,0,,,,,,,0,0,0,0,,,,,27.169447999971453,,,,,,,,,27.15847759996541,27.169447999971453,27.169447999971453,27.169447999971453,27.169447999971453,27.369363499979954,27.369363499979954,27.369363499979954,27.369363499979954,27.358910799957812,27.51368089998141,27.524993099970743,27.524993099970743,27.524993099970743,27.524993099970743,27.724212699977215,27.724212699977215,27.724212699977215,27.724212699977215,27.714818299980834,27.71487949998118,27.724212699977215,28.52492999995593,28.513200999994297,,,,,,,,27.358980699966196,27.369363499979954,27.524993099970743,27.513640599965584,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h47.02.552,Teamprojekt,,2025.1.0,88.32837663065656,2026-06-16 17h47.07.030544 +0200,
1,0,1,,,,,,,1,0,1,0,,,,,28.52492999995593,,,,,,,,,28.513354399998207,28.52492999995593,28.52492999995593,28.52492999995593,28.52492999995593,28.72546639997745,28.72546639997745,28.72546639997745,28.72546639997745,28.713192499999423,28.868846900004428,28.880880399956368,28.880880399956368,28.880880399956368,28.880880399956368,29.07972039998276,29.07972039998276,29.07972039998276,29.07972039998276,29.069816699950024,29.06986449996475,29.07972039998276,29.880600499978755,29.86927139997715,,,,,,,,28.713225499959663,28.72546639997745,28.880880399956368,28.86881859996356,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h47.02.552,Teamprojekt,,2025.1.0,88.32837663065656,2026-06-16 17h47.07.030544 +0200,
2,0,2,,,,,,,2,0,2,0,,,,,29.880600499978755,,,,,,,,,29.86953349999385,29.880600499978755,29.880600499978755,29.880600499978755,29.880600499978755,30.079686799959745,30.079686799959745,30.079686799959745,30.079686799959745,30.068874899996445,30.22436959994957,30.235890699957963,30.235890699957963,30.235890699957963,30.235890699957963,30.436219599971082,30.436219599971082,30.436219599971082,30.436219599971082,30.424895200005267,30.42493849998573,30.436219599971082,31.235757199989166,31.225021399965044,,,,,,,,30.068922599952202,30.079686799959745,30.235890699957963,30.224331599951256,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h47.02.552,Teamprojekt,,2025.1.0,88.32837663065656,2026-06-16 17h47.07.030544 +0200,
3,0,3,,,,,,,3,0,3,0,,,,,31.235757199989166,,,,,,,,,31.225156100001186,31.235757199989166,31.235757199989166,31.235757199989166,31.235757199989166,31.43589859997155,31.43589859997155,31.43589859997155,31.43589859997155,31.42494679999072,31.580678199999966,31.59173829999054,31.59173829999054,31.59173829999054,31.59173829999054,31.791598199983127,31.791598199983127,31.791598199983127,31.791598199983127,31.781317799992394,31.781369399977848,31.791598199983127,32.59071859996766,32.58115419995738,,,,,,,,31.424979899951722,31.43589859997155,31.59173829999054,31.58064119995106,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h47.02.552,Teamprojekt,,2025.1.0,88.32837663065656,2026-06-16 17h47.07.030544 +0200,
