thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,ElementExampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,ElementExampleFrame1.stopped,ElementExampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,ElementExampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,blank800.stopped,FixationCrossBlank800.stopped,elementMotionExplained.started,keyElementMotionExplained.started,textElementMotion.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,keyGroupMotionExplained.started,textGroupMotion.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.005750299955252558,0.01283069996861741,0.01283069996861741,1.1804839999531396,space,1.1574790999875404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h51.47.152,Teamprojekt,,2025.1.0,90.32387431648853,2026-06-16 17h51.54.439987 +0200,
0,0,0,,,0,0,0,0,,,,,,,,,1.1863216999918222,,,,,,,,,1.180826600000728,1.1863216999918222,1.1863216999918222,1.1863216999918222,1.1863216999918222,1.3863880999851972,1.3863880999851972,1.3863880999851972,1.3863880999851972,1.3746902999700978,1.3747348999604583,1.3863880999851972,1.3863880999851972,1.3863880999851972,1.3863880999851972,1.5859908999991603,1.5859908999991603,1.5859908999991603,1.5859908999991603,1.5751747000031173,1.5752059000078589,1.5859908999991603,2.3756624999805354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h51.47.152,Teamprojekt,,2025.1.0,90.32387431648853,2026-06-16 17h51.54.439987 +0200,
1,0,1,,,1,0,1,0,,,,,,,,,2.3863424999872223,,,,,,,,,2.3758916999795474,2.3863424999872223,2.3863424999872223,2.3863424999872223,2.3863424999872223,2.5856916999910027,2.5856916999910027,2.5856916999910027,2.5856916999910027,2.5745979999774136,2.574630699993577,2.5856916999910027,2.5856916999910027,2.5856916999910027,2.5856916999910027,2.7855937999556772,2.7855937999556772,2.7855937999556772,2.7855937999556772,2.77456049999455,2.774600799952168,2.7855937999556772,3.575349599996116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h51.47.152,Teamprojekt,,2025.1.0,90.32387431648853,2026-06-16 17h51.54.439987 +0200,
2,0,2,,,2,0,2,0,,,,,,,,,3.5860329999704845,,,,,,,,,3.5754858999862336,3.5860329999704845,3.5860329999704845,3.5860329999704845,3.5860329999704845,3.7853873999556527,3.7853873999556527,3.7853873999556527,3.7853873999556527,3.7755570999579504,3.775603299960494,3.7853873999556527,3.7853873999556527,3.7853873999556527,3.7853873999556527,3.985451699991245,3.985451699991245,3.985451699991245,3.985451699991245,3.9758154999581166,3.9758734999923036,3.985451699991245,4.775791099993512,4.786645599990152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h51.47.152,Teamprojekt,,2025.1.0,90.32387431648853,2026-06-16 17h51.54.439987 +0200,
3,0,3,,,3,0,3,0,,,,,,,,,4.786645599990152,,,,,,,,,4.7759341999772005,4.786645599990152,4.786645599990152,4.786645599990152,4.786645599990152,4.985711399989668,4.985711399989668,4.985711399989668,4.985711399989668,4.974475800001528,4.9745079999556765,4.985711399989668,4.985711399989668,4.985711399989668,4.985711399989668,5.1853458999539725,5.1853458999539725,5.1853458999539725,5.1853458999539725,5.175050399964675,5.1750823999755085,5.1853458999539725,5.975318699958734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h51.47.152,Teamprojekt,,2025.1.0,90.32387431648853,2026-06-16 17h51.54.439987 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.975432300008833,5.986595199967269,5.986595199967269,7.6749428999610245,space,1.679473500000313,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h51.47.152,Teamprojekt,,2025.1.0,90.32387431648853,2026-06-16 17h51.54.439987 +0200,
0,0,0,,,,,,,0,0,0,0,,,,,7.685111599974334,,,,,,,,,7.675261500000488,7.685111599974334,7.685111599974334,7.685111599974334,7.685111599974334,7.885393699980341,7.885393699980341,7.885393699980341,7.885393699980341,7.874961699999403,8.03030659997603,8.041661099996418,8.041661099996418,8.041661099996418,8.041661099996418,8.241981099999975,8.241981099999975,8.241981099999975,8.241981099999975,8.230557999981102,8.230590299994219,8.241981099999975,9.031703499960713,,,,,,,,,7.874993400007952,7.885393699980341,8.041661099996418,8.03027829999337,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h51.47.152,Teamprojekt,,2025.1.0,90.32387431648853,2026-06-16 17h51.54.439987 +0200,
1,0,1,,,,,,,1,0,1,0,,,,,9.041423099988606,,,,,,,,,9.0319438999868,9.041423099988606,9.041423099988606,9.041423099988606,9.041423099988606,9.241089899966028,9.241089899966028,9.241089899966028,9.241089899966028,9.23093359998893,9.386591799964663,9.396200299961492,9.396200299961492,9.396200299961492,9.396200299961492,9.597060800006147,9.597060800006147,9.597060800006147,9.597060800006147,9.586027499986812,9.586070799967274,9.597060800006147,10.386485299968626,,,,,,,,,9.230967099952977,9.241089899966028,9.396200299961492,9.386534199991729,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h51.47.152,Teamprojekt,,2025.1.0,90.32387431648853,2026-06-16 17h51.54.439987 +0200,
2,0,2,,,,,,,2,0,2,0,,,,,10.396516699984204,,,,,,,,,10.386803000001237,10.396516699984204,10.396516699984204,10.396516699984204,10.396516699984204,10.597226999991108,10.597226999991108,10.597226999991108,10.597226999991108,10.585394299996551,10.741879599983804,10.751698200008832,10.751698200008832,10.751698200008832,10.751698200008832,10.951758999959566,10.951758999959566,10.951758999959566,10.951758999959566,10.941810599993914,10.94185489998199,10.951758999959566,11.741462599951774,11.7516040999908,,,,,,,,10.585428299964406,10.597226999991108,10.751698200008832,10.741835299995728,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h51.47.152,Teamprojekt,,2025.1.0,90.32387431648853,2026-06-16 17h51.54.439987 +0200,
3,0,3,,,,,,,3,0,3,0,,,,,11.7516040999908,,,,,,,,,11.74163539998699,11.7516040999908,11.7516040999908,11.7516040999908,11.7516040999908,11.951637899968773,11.951637899968773,11.951637899968773,11.951637899968773,11.94077039998956,12.096435699961148,12.10709439998027,12.10709439998027,12.10709439998027,12.10709439998027,12.307228799967561,12.307228799967561,12.307228799967561,12.307228799967561,12.297143200004939,12.297202999994624,12.307228799967561,13.096280400000978,13.10938639997039,,,,,,,,11.94080219999887,11.951637899968773,12.10709439998027,12.09639799996512,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h51.47.152,Teamprojekt,,2025.1.0,90.32387431648853,2026-06-16 17h51.54.439987 +0200,
