thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,ElementExampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,ElementExampleFrame1.stopped,ElementExampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,ElementExampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,keyElementMotionExplained.started,textElementMotion.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,keyGroupMotionExplained.started,textGroupMotion.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.003223300038371235,0.010137800010852516,0.010137800010852516,0.6219689000281505,space,0.6062601000303403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h57.37.892,Teamprojekt,,2025.1.0,86.83940185367231,2026-06-16 17h57.42.293586 +0200,
0,0,0,,,0,0,0,0,,,,,,,,,0.6274690999998711,,,,,,,,,0.6223107000114396,0.6274690999998711,0.6274690999998711,0.6274690999998711,0.6274690999998711,0.8267009000410326,0.8267009000410326,0.8267009000410326,0.8267009000410326,0.817137400037609,0.8171874000108801,0.8267009000410326,0.8267009000410326,0.8267009000410326,0.8267009000410326,1.0270235000061803,1.0270235000061803,1.0270235000061803,1.0270235000061803,1.0174077000119723,1.0174508000491187,1.0270235000061803,1.8277771000284702,1.8160759000456892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h57.37.892,Teamprojekt,,2025.1.0,86.83940185367231,2026-06-16 17h57.42.293586 +0200,
1,0,1,,,1,0,1,0,,,,,,,,,1.8277771000284702,,,,,,,,,1.8162743000430055,1.8277771000284702,1.8277771000284702,1.8277771000284702,1.8277771000284702,2.026750200020615,2.026750200020615,2.026750200020615,2.026750200020615,2.01572710002074,2.0157585000270046,2.026750200020615,2.026750200020615,2.026750200020615,2.026750200020615,2.2266504000290297,2.2266504000290297,2.2266504000290297,2.2266504000290297,2.2163135000155307,2.216346900037024,2.2266504000290297,,3.016883800039068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h57.37.892,Teamprojekt,,2025.1.0,86.83940185367231,2026-06-16 17h57.42.293586 +0200,
2,0,2,,,2,0,2,0,,,,,,,,,3.0265436000190675,,,,,,,,,3.017124700010754,3.0265436000190675,3.0265436000190675,3.0265436000190675,3.0265436000190675,3.227243000001181,3.227243000001181,3.227243000001181,3.227243000001181,3.2166376000386663,3.216670800000429,3.227243000001181,3.227243000001181,3.227243000001181,3.227243000001181,3.4269907000125386,3.4269907000125386,3.4269907000125386,3.4269907000125386,3.416587100015022,3.416629500046838,3.4269907000125386,4.22670380002819,4.216059400001541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h57.37.892,Teamprojekt,,2025.1.0,86.83940185367231,2026-06-16 17h57.42.293586 +0200,
3,0,3,,,3,0,3,0,,,,,,,,,4.22670380002819,,,,,,,,,4.216228700010106,4.22670380002819,4.22670380002819,4.22670380002819,4.22670380002819,4.427297800022643,4.427297800022643,4.427297800022643,4.427297800022643,4.415704000042751,4.415747600025497,4.427297800022643,4.427297800022643,4.427297800022643,4.427297800022643,4.626449100032914,4.626449100032914,4.626449100032914,4.626449100032914,4.615627000050154,4.615661000018008,4.626449100032914,,5.416012100002263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h57.37.892,Teamprojekt,,2025.1.0,86.83940185367231,2026-06-16 17h57.42.293586 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.416154700040352,5.427106200018898,5.427106200018898,6.571071400016081,space,1.1334195000235923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h57.37.892,Teamprojekt,,2025.1.0,86.83940185367231,2026-06-16 17h57.42.293586 +0200,
0,0,0,,,,,,,0,0,0,0,,,,,6.582188500033226,,,,,,,,,6.57137469999725,6.582188500033226,6.582188500033226,6.582188500033226,6.582188500033226,6.78200560004916,6.78200560004916,6.78200560004916,6.78200560004916,6.771577200037427,6.926653000002261,6.9394727000035346,6.9394727000035346,6.9394727000035346,6.9394727000035346,7.137467100052163,7.137467100052163,7.137467100052163,7.137467100052163,7.12680760002695,7.126851900015026,7.137467100052163,,7.927206700027455,,,,,,,,6.7716081000398844,6.78200560004916,6.9394727000035346,6.926624000014272,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h57.37.892,Teamprojekt,,2025.1.0,86.83940185367231,2026-06-16 17h57.42.293586 +0200,
1,0,1,,,,,,,1,0,1,0,,,,,7.939098700007889,,,,,,,,,7.927382200025022,7.939098700007889,7.939098700007889,7.939098700007889,7.939098700007889,8.13744650001172,8.13744650001172,8.13744650001172,8.13744650001172,8.126846400031354,8.28241630003322,8.293090799998026,8.293090799998026,8.293090799998026,8.293090799998026,8.494998100039084,8.494998100039084,8.494998100039084,8.494998100039084,8.482204400002956,8.4822506000055,8.494998100039084,9.293818900012411,9.282393500034232,,,,,,,,8.126893900043797,8.13744650001172,8.293090799998026,8.282370900036767,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h57.37.892,Teamprojekt,,2025.1.0,86.83940185367231,2026-06-16 17h57.42.293586 +0200,
2,0,2,,,,,,,2,0,2,0,,,,,9.293818900012411,,,,,,,,,9.282556699996348,9.293818900012411,9.293818900012411,9.293818900012411,9.293818900012411,9.493382700020447,9.493382700020447,9.493382700020447,9.493382700020447,9.482883000047877,9.638782599999104,9.649616300011985,9.649616300011985,9.649616300011985,9.649616300011985,9.849366000038572,9.849366000038572,9.849366000038572,9.849366000038572,9.839330900053028,9.839364400017075,9.849366000038572,10.648868800024502,10.637518700037617,,,,,,,,9.48293730005389,9.493382700020447,9.649616300011985,9.63875189999817,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h57.37.892,Teamprojekt,,2025.1.0,86.83940185367231,2026-06-16 17h57.42.293586 +0200,
3,0,3,,,,,,,3,0,3,0,,,,,10.648868800024502,,,,,,,,,10.637703000043985,10.648868800024502,10.648868800024502,10.648868800024502,10.648868800024502,10.848380500043277,10.848380500043277,10.848380500043277,10.848380500043277,10.837578400038183,10.9943647000473,11.004121500009205,11.004121500009205,11.004121500009205,11.004121500009205,11.204335700022057,11.204335700022057,11.204335700022057,11.204335700022057,11.194239100033883,11.194271800050046,11.204335700022057,,11.99487690004753,,,,,,,,10.837628300010692,10.848380500043277,11.004121500009205,10.99430449999636,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_17h57.37.892,Teamprojekt,,2025.1.0,86.83940185367231,2026-06-16 17h57.42.293586 +0200,
