thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,ElementExampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,ElementExampleFrame1.stopped,ElementExampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,ElementExampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,keyElementMotionExplained.started,textElementMotion.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,keyGroupMotionExplained.started,textGroupMotion.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,keyPractice.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.0033685999806039035,0.007639000017661601,0.007639000017661601,1.4819281999953091,space,1.4680257000145502,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h00.04.312,Teamprojekt,,2025.1.0,86.42967651363477,2026-06-16 18h00.08.383529 +0200,
0,0,0,,,,,,0,0,0,0,,,,,,,,,1.4877128999796696,,,,,,,,,1.482327500008978,1.4877128999796696,1.4877128999796696,1.4877128999796696,1.4877128999796696,1.6878457000129856,1.6878457000129856,1.6878457000129856,1.6878457000129856,1.6767195999855176,1.676750999991782,1.6878457000129856,1.6878457000129856,1.6878457000129856,1.6878457000129856,1.8877997000236064,1.8877997000236064,1.8877997000236064,1.8877997000236064,1.877610499970615,1.8776688000070862,1.8877997000236064,2.6871915999799967,2.676303900021594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h00.04.312,Teamprojekt,,2025.1.0,86.42967651363477,2026-06-16 18h00.08.383529 +0200,
1,0,1,,,,,,1,0,1,0,,,,,,,,,2.6871915999799967,,,,,,,,,2.676440300012473,2.6871915999799967,2.6871915999799967,2.6871915999799967,2.6871915999799967,2.887112899974454,2.887112899974454,2.887112899974454,2.887112899974454,2.876865300000645,2.8769198000081815,2.887112899974454,2.887112899974454,2.887112899974454,2.887112899974454,3.08734829997411,3.08734829997411,3.08734829997411,3.08734829997411,3.076559700013604,3.0766073999693617,3.08734829997411,,3.8771680999780074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h00.04.312,Teamprojekt,,2025.1.0,86.42967651363477,2026-06-16 18h00.08.383529 +0200,
2,0,2,,,,,,2,0,2,0,,,,,,,,,3.887758099997882,,,,,,,,,3.87846159999026,3.887758099997882,3.887758099997882,3.887758099997882,3.887758099997882,4.088003000011668,4.088003000011668,4.088003000011668,4.088003000011668,4.077345400000922,4.077378600020893,4.088003000011668,4.088003000011668,4.088003000011668,4.088003000011668,4.288378199969884,4.288378199969884,4.288378199969884,4.288378199969884,4.2772123999893665,4.277255899971351,4.288378199969884,5.087875499972142,5.076535500003956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h00.04.312,Teamprojekt,,2025.1.0,86.42967651363477,2026-06-16 18h00.08.383529 +0200,
3,0,3,,,,,,3,0,3,0,,,,,,,,,5.087875499972142,,,,,,,,,5.0766971000120975,5.087875499972142,5.087875499972142,5.087875499972142,5.087875499972142,5.288089399982709,5.288089399982709,5.288089399982709,5.288089399982709,5.276364999997895,5.2764052000129595,5.288089399982709,5.288089399982709,5.288089399982709,5.288089399982709,5.487991300004069,5.487991300004069,5.487991300004069,5.487991300004069,5.4770711999735795,5.477114400011487,5.487991300004069,6.287280099990312,6.276290100009646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h00.04.312,Teamprojekt,,2025.1.0,86.42967651363477,2026-06-16 18h00.08.383529 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.276385999983177,6.287280099990312,6.287280099990312,8.975926099985372,space,2.6798338999506086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h00.04.312,Teamprojekt,,2025.1.0,86.42967651363477,2026-06-16 18h00.08.383529 +0200,
0,0,0,,,,,,,,,,0,0,0,0,,,,,8.987426100007724,,,,,,,,,8.976223499979824,8.987426100007724,8.987426100007724,8.987426100007724,8.987426100007724,9.187036100018304,9.187036100018304,9.187036100018304,9.187036100018304,9.176077999989502,9.331854699994437,9.343565699993633,9.343565699993633,9.343565699993633,9.343565699993633,9.542536699969787,9.542536699969787,9.542536699969787,9.542536699969787,9.532776499981992,9.53280819999054,9.542536699969787,10.343948099995032,10.33232109999517,,,,,,,,9.176109199994244,9.187036100018304,9.343565699993633,9.33182520000264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h00.04.312,Teamprojekt,,2025.1.0,86.42967651363477,2026-06-16 18h00.08.383529 +0200,
1,0,1,,,,,,,,,,1,0,1,0,,,,,10.343948099995032,,,,,,,,,10.33245689998148,10.343948099995032,10.343948099995032,10.343948099995032,10.343948099995032,10.542284699971788,10.542284699971788,10.542284699971788,10.542284699971788,10.531593599996995,10.68877569999313,10.698823700018693,10.698823700018693,10.698823700018693,10.698823700018693,10.897855599992909,10.897855599992909,10.897855599992909,10.897855599992909,10.887115499994252,10.887151499977335,10.897855599992909,11.69863970001461,11.687230199982878,,,,,,,,10.531626900017727,10.542284699971788,10.698823700018693,10.688746800005902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h00.04.312,Teamprojekt,,2025.1.0,86.42967651363477,2026-06-16 18h00.08.383529 +0200,
2,0,2,,,,,,,,,,2,0,2,0,,,,,11.69863970001461,,,,,,,,,11.687367699982133,11.69863970001461,11.69863970001461,11.69863970001461,11.69863970001461,11.898379000020213,11.898379000020213,11.898379000020213,11.898379000020213,11.888348900014535,12.042737699986901,12.053470699989703,12.053470699989703,12.053470699989703,12.053470699989703,12.25354399997741,12.25354399997741,12.25354399997741,12.25354399997741,12.242789299983997,12.24282129999483,12.25354399997741,13.053755100001581,13.042923400003929,,,,,,,,11.8884058999829,11.898379000020213,12.053470699989703,12.042709400004242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h00.04.312,Teamprojekt,,2025.1.0,86.42967651363477,2026-06-16 18h00.08.383529 +0200,
3,0,3,,,,,,,,,,3,0,3,0,,,,,13.053755100001581,,,,,,,,,13.043138500011992,13.053755100001581,13.053755100001581,13.053755100001581,13.053755100001581,13.254261200025212,13.254261200025212,13.254261200025212,13.254261200025212,13.243212900008075,13.397924399992917,13.409715900023002,13.409715900023002,13.409715900023002,13.409715900023002,13.609308400016744,13.609308400016744,13.609308400016744,13.609308400016744,13.59884469996905,13.598890899971593,13.609308400016744,14.409477400011383,14.39848739997251,,,,,,,,13.243247799982782,13.254261200025212,13.409715900023002,13.397897200018633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h00.04.312,Teamprojekt,,2025.1.0,86.42967651363477,2026-06-16 18h00.08.383529 +0200,
