thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,InstructionScreen.stopped,ElementExampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,ElementExampleFrame1.stopped,ElementExampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,ElementExampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,keyPractice.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.003245500032790005,0.007061699987389147,0.9986212000367232,space,4.483230499958154,None,5.4938611999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h06.02.071,Teamprojekt,,2025.1.0,89.81861129262573,2026-06-16 18h06.06.614392 +0200,
0,0,0,,,,,,0,0,0,0,,,,,,,,,5.501597299997229,,,,,,,,,5.494212799996603,5.501597299997229,5.501597299997229,5.501597299997229,5.501597299997229,5.699441300006583,5.699441300006583,5.699441300006583,5.699441300006583,5.688440099998843,5.688496800023131,5.699441300006583,5.699441300006583,5.699441300006583,5.699441300006583,5.898347800015472,5.898347800015472,5.898347800015472,5.898347800015472,5.8878202000050806,5.887869600031991,5.898347800015472,6.699220400012564,6.687720299989451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h06.02.071,Teamprojekt,,2025.1.0,89.81861129262573,2026-06-16 18h06.06.614392 +0200,
1,0,1,,,,,,1,0,1,0,,,,,,,,,6.699220400012564,,,,,,,,,6.687892000016291,6.699220400012564,6.699220400012564,6.699220400012564,6.699220400012564,6.8999157000216655,6.8999157000216655,6.8999157000216655,6.8999157000216655,6.887682200002018,6.887723400024697,6.8999157000216655,6.8999157000216655,6.8999157000216655,6.8999157000216655,7.099188900028821,7.099188900028821,7.099188900028821,7.099188900028821,7.088325100019574,7.088366400043014,7.099188900028821,7.898252499988303,7.887807500024792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h06.02.071,Teamprojekt,,2025.1.0,89.81861129262573,2026-06-16 18h06.06.614392 +0200,
2,0,2,,,,,,2,0,2,0,,,,,,,,,7.898252499988303,,,,,,,,,7.887939600041136,7.898252499988303,7.898252499988303,7.898252499988303,7.898252499988303,8.098239200015087,8.098239200015087,8.098239200015087,8.098239200015087,8.088529800006654,8.088578700029757,8.098239200015087,8.098239200015087,8.098239200015087,8.098239200015087,8.29825560003519,8.29825560003519,8.29825560003519,8.29825560003519,8.287265399994794,8.28729690000182,8.29825560003519,,9.0884350000415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h06.02.071,Teamprojekt,,2025.1.0,89.81861129262573,2026-06-16 18h06.06.614392 +0200,
3,0,3,,,,,,3,0,3,0,,,,,,,,,9.098203600035049,,,,,,,,,9.088668200012762,9.098203600035049,9.098203600035049,9.098203600035049,9.098203600035049,9.298147000023164,9.298147000023164,9.298147000023164,9.298147000023164,9.288166699989233,9.288210900034755,9.298147000023164,9.298147000023164,9.298147000023164,9.298147000023164,9.498159000009764,9.498159000009764,9.498159000009764,9.498159000009764,9.488203799992334,9.488237600016873,9.498159000009764,10.298467300017364,10.28776450001169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h06.02.071,Teamprojekt,,2025.1.0,89.81861129262573,2026-06-16 18h06.06.614392 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.287906699988525,10.298467300017364,10.787772200012114,21.199416299990844,space,10.410758199985139,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h06.02.071,Teamprojekt,,2025.1.0,89.81861129262573,2026-06-16 18h06.06.614392 +0200,
0,0,0,,,,,,,,,,0,0,0,0,,,,,21.209095300000627,,,,,,,,,21.199732100008987,21.209095300000627,21.209095300000627,21.209095300000627,21.209095300000627,21.409352999995463,21.409352999995463,21.409352999995463,21.409352999995463,21.398040500003844,21.553432999993674,21.564456499996595,21.564456499996595,21.564456499996595,21.564456499996595,21.7646434000344,21.7646434000344,21.7646434000344,21.7646434000344,21.7545435000211,21.754580400011037,21.7646434000344,,22.555006400041748,,,,,,,,21.39808479999192,21.409352999995463,21.564456499996595,21.553387299994938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h06.02.071,Teamprojekt,,2025.1.0,89.81861129262573,2026-06-16 18h06.06.614392 +0200,
1,0,1,,,,,,,,,,1,0,1,0,,,,,22.564294400042854,,,,,,,,,22.555235400039237,22.564294400042854,22.564294400042854,22.564294400042854,22.564294400042854,22.765082700003404,22.765082700003404,22.765082700003404,22.765082700003404,22.753767299989704,22.90942909999285,22.91967690002639,22.91967690002639,22.91967690002639,22.91967690002639,23.12073910003528,23.12073910003528,23.12073910003528,23.12073910003528,23.10869790002471,23.10872990003554,23.12073910003528,,23.9096414000378,,,,,,,,22.753813199989963,22.765082700003404,22.91967690002639,22.90939620003337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h06.02.071,Teamprojekt,,2025.1.0,89.81861129262573,2026-06-16 18h06.06.614392 +0200,
2,0,2,,,,,,,,,,2,0,2,0,,,,,23.919611599994823,,,,,,,,,23.90985160000855,23.919611599994823,23.919611599994823,23.919611599994823,23.919611599994823,24.120568600017577,24.120568600017577,24.120568600017577,24.120568600017577,24.109719800006133,24.264673200028483,24.276119499991182,24.276119499991182,24.276119499991182,24.276119499991182,24.476118999999017,24.476118999999017,24.476118999999017,24.476118999999017,24.465290300024208,24.465340199996717,24.476118999999017,25.275224399985746,25.265133500040974,,,,,,,,24.10976500000106,24.120568600017577,24.276119499991182,24.264602300012484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h06.02.071,Teamprojekt,,2025.1.0,89.81861129262573,2026-06-16 18h06.06.614392 +0200,
3,0,3,,,,,,,,,,3,0,3,0,,,,,25.275224399985746,,,,,,,,,25.265339600038715,25.275224399985746,25.275224399985746,25.275224399985746,25.275224399985746,25.475339600001462,25.475339600001462,25.475339600001462,25.475339600001462,25.465216300042812,25.62077209999552,25.631113000039477,25.631113000039477,25.631113000039477,25.631113000039477,25.831903300015256,25.831903300015256,25.831903300015256,25.831903300015256,25.82074890000513,25.82079780002823,25.831903300015256,26.631153900001664,26.620669100026134,,,,,,,,25.465273900015745,25.475339600001462,25.631113000039477,25.620721200015396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_18h06.02.071,Teamprojekt,,2025.1.0,89.81861129262573,2026-06-16 18h06.06.614392 +0200,
