thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,InstructionScreen.stopped,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,keyPractice.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,keyStart.keys,keyStart.rt,keyStart.duration,StartScreen.stopped,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,key_resp.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,blockBreak.started,keyBlockContinue.started,textBlockInstructions.started,blockBreak.stopped,blockLoop.keyBlockContinue.keys,blockLoop.keyBlockContinue.rt,blockLoop.keyBlockContinue.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0033048000186681747,0.009339200041722506,0.9928239000146277,space,0.12490370002342388,None,1.1335777000058442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_19h40.02.232,Teamprojekt,,2025.1.0,84.83339991324549,2026-06-16 19h40.06.343761 +0200,
0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1.1403888000058942,,,,,,,,,LR,1.1344589000218548,1.1403888000058942,1.1403888000058942,1.1403888000058942,1.1403888000058942,1.337403700046707,1.337403700046707,1.337403700046707,1.337403700046707,1.3261534000048414,1.326477300026454,1.337403700046707,1.337403700046707,1.337403700046707,1.337403700046707,1.537039700022433,1.537039700022433,1.537039700022433,1.537039700022433,1.527595499996096,1.5276452000252903,1.537039700022433,2.3369888000306673,2.3278353000059724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_19h40.02.232,Teamprojekt,,2025.1.0,84.83339991324549,2026-06-16 19h40.06.343761 +0200,
1,0,1,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,2.3369888000306673,,,,,,,,,LR,2.3285244000144303,2.3369888000306673,2.3369888000306673,2.3369888000306673,2.3369888000306673,2.5369218999985605,2.5369218999985605,2.5369218999985605,2.5369218999985605,2.528014100040309,2.5284241000190377,2.5369218999985605,2.5369218999985605,2.5369218999985605,2.5369218999985605,2.737030800024513,2.737030800024513,2.737030800024513,2.737030800024513,2.726466900028754,2.7265008999966085,2.737030800024513,,3.526893200003542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_19h40.02.232,Teamprojekt,,2025.1.0,84.83339991324549,2026-06-16 19h40.06.343761 +0200,
2,0,2,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,3.537996100028977,,,,,,,,,LR,3.5275215000147,3.537996100028977,3.537996100028977,3.537996100028977,3.537996100028977,3.7368909000069834,3.7368909000069834,3.7368909000069834,3.7368909000069834,3.7259795000427403,3.726320800022222,3.7368909000069834,3.7368909000069834,3.7368909000069834,3.7368909000069834,3.9380813000025228,3.9380813000025228,3.9380813000025228,3.9380813000025228,3.9269929000292905,3.927032900042832,3.9380813000025228,4.737812200037297,4.7268748000497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_19h40.02.232,Teamprojekt,,2025.1.0,84.83339991324549,2026-06-16 19h40.06.343761 +0200,
3,0,3,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,4.737812200037297,,,,,,,,,LR,4.727498600026593,4.737812200037297,4.737812200037297,4.737812200037297,4.737812200037297,4.93798849999439,4.93798849999439,4.93798849999439,4.93798849999439,4.9260301000322215,4.926382000034209,4.93798849999439,4.93798849999439,4.93798849999439,4.93798849999439,5.137452800001483,5.137452800001483,5.137452800001483,5.137452800001483,5.12645020004129,5.126501700025983,5.137452800001483,5.937785100017209,5.925897300010547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_19h40.02.232,Teamprojekt,,2025.1.0,84.83339991324549,2026-06-16 19h40.06.343761 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.925980800006073,5.937785100017209,6.426968900021166,6.759725800016895,space,0.3277529000188224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_19h40.02.232,Teamprojekt,,2025.1.0,84.83339991324549,2026-06-16 19h40.06.343761 +0200,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,6.7710676999995485,,,,,,,,,LR,6.760425400047097,6.7710676999995485,6.7710676999995485,6.7710676999995485,6.7710676999995485,6.971016600029543,6.971016600029543,6.971016600029543,6.971016600029543,6.960124900040682,7.116405200038571,7.125633000046946,7.125633000046946,7.125633000046946,7.125633000046946,7.326167599996552,7.326167599996552,7.326167599996552,7.326167599996552,7.315225600032136,7.315292000013869,7.326167599996552,8.12568719999399,8.115220200037584,,,,,,,,6.960168400022667,6.971016600029543,7.125633000046946,7.116034700011369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_19h40.02.232,Teamprojekt,,2025.1.0,84.83339991324549,2026-06-16 19h40.06.343761 +0200,
1,0,1,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,8.12568719999399,,,,,,,,,LR,8.115709600038826,8.12568719999399,8.12568719999399,8.12568719999399,8.12568719999399,8.325471799995285,8.325471799995285,8.325471799995285,8.325471799995285,8.316020300029777,8.47091240005102,8.481488200020976,8.481488200020976,8.481488200020976,8.481488200020976,8.681603100034408,8.681603100034408,8.681603100034408,8.681603100034408,8.670226200018078,8.67025950003881,8.681603100034408,9.481854900019243,9.470163499994669,,,,,,,,8.316053999995347,8.325471799995285,8.481488200020976,8.470394100004341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_19h40.02.232,Teamprojekt,,2025.1.0,84.83339991324549,2026-06-16 19h40.06.343761 +0200,
2,0,2,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,9.481854900019243,,,,,,,,,RL,9.470819600042887,9.481854900019243,9.481854900019243,9.481854900019243,9.481854900019243,9.682048999995459,9.682048999995459,9.682048999995459,9.682048999995459,9.670659199997317,9.826122500002384,9.83654300001217,9.83654300001217,9.83654300001217,9.83654300001217,10.037220900005195,10.037220900005195,10.037220900005195,10.037220900005195,10.027820000017527,10.027856400003657,10.037220900005195,10.836912200029474,10.826543700008187,,,,,,,,9.670692800020333,9.682048999995459,9.83654300001217,9.825791800045408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_19h40.02.232,Teamprojekt,,2025.1.0,84.83339991324549,2026-06-16 19h40.06.343761 +0200,
3,0,3,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,10.836912200029474,,,,,,,,,LR,10.827270100009628,10.836912200029474,10.836912200029474,10.836912200029474,10.836912200029474,11.037990500044543,11.037990500044543,11.037990500044543,11.037990500044543,11.025869200006127,11.182180800009519,11.192284300050233,11.192284300050233,11.192284300050233,11.192284300050233,11.392431100015529,11.392431100015529,11.392431100015529,11.392431100015529,11.381123800005298,11.381170500011649,11.392431100015529,,12.182555500010494,,,,,,,,11.025916400016285,11.037990500044543,11.192284300050233,11.181686500029173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_19h40.02.232,Teamprojekt,,2025.1.0,84.83339991324549,2026-06-16 19h40.06.343761 +0200,
