thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,InstructionScreen.stopped,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,keyPractice.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.002963299979455769,0.007493600016459823,0.9980483999825083,space,2.171354499994777,None,3.17018159996951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h14.45.795,Teamprojekt,,2025.1.0,85.77307705739074,2026-06-16 20h14.50.429778 +0200,
0,0,0,,,,,,0,0,0,0,,,,,,,,,3.179849900014233,,,,,,,,,LR,3.170892799971625,3.179849900014233,3.179849900014233,3.179849900014233,3.179849900014233,3.380436900013592,3.380436900013592,3.380436900013592,3.380436900013592,3.3690576999797486,3.369472099991981,3.380436900013592,3.380436900013592,3.380436900013592,3.380436900013592,3.579892400011886,3.579892400011886,3.579892400011886,3.579892400011886,3.56904490001034,3.5690876999869943,3.579892400011886,4.379997699987143,4.3689614000031725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h14.45.795,Teamprojekt,,2025.1.0,85.77307705739074,2026-06-16 20h14.50.429778 +0200,
1,0,1,,,,,,1,0,1,0,,,,,,,,,4.379997699987143,,,,,,,,,RL,4.369711100007407,4.379997699987143,4.379997699987143,4.379997699987143,4.379997699987143,4.579877200012561,4.579877200012561,4.579877200012561,4.579877200012561,4.568928599997889,4.56932319997577,4.579877200012561,4.579877200012561,4.579877200012561,4.579877200012561,4.779994899989106,4.779994899989106,4.779994899989106,4.779994899989106,4.768794299976435,4.768828600004781,4.779994899989106,,5.569519300013781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h14.45.795,Teamprojekt,,2025.1.0,85.77307705739074,2026-06-16 20h14.50.429778 +0200,
2,0,2,,,,,,2,0,2,0,,,,,,,,,5.57970750000095,,,,,,,,,LR,5.570179599977564,5.57970750000095,5.57970750000095,5.57970750000095,5.57970750000095,5.779498199990485,5.779498199990485,5.779498199990485,5.779498199990485,5.7688039999920875,5.769225700001698,5.779498199990485,5.779498199990485,5.779498199990485,5.779498199990485,5.980028500023764,5.980028500023764,5.980028500023764,5.980028500023764,5.96869730000617,5.9687433000071906,5.980028500023764,,6.769334900018293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h14.45.795,Teamprojekt,,2025.1.0,85.77307705739074,2026-06-16 20h14.50.429778 +0200,
3,0,3,,,,,,3,0,3,0,,,,,,,,,6.779548800026532,,,,,,,,,RL,6.769925599975977,6.779548800026532,6.779548800026532,6.779548800026532,6.779548800026532,6.98028289998183,6.98028289998183,6.98028289998183,6.98028289998183,6.9693364999839105,6.969674899999518,6.98028289998183,6.98028289998183,6.98028289998183,6.98028289998183,7.180999499978498,7.180999499978498,7.180999499978498,7.180999499978498,7.170234600023832,7.170285000000149,7.180999499978498,7.980090199969709,7.969386500015389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h14.45.795,Teamprojekt,,2025.1.0,85.77307705739074,2026-06-16 20h14.50.429778 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.969486000016332,7.980090199969709,8.468404899991583,9.314086899976246,space,0.8386608000146225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h14.45.795,Teamprojekt,,2025.1.0,85.77307705739074,2026-06-16 20h14.50.429778 +0200,
0,0,0,,,,,,,,,,0,0,0,0,,,,,9.324314199970104,,,,,,,,,LR,9.315039700013585,9.324314199970104,9.324314199970104,9.324314199970104,9.324314199970104,9.524419000023045,9.524419000023045,9.524419000023045,9.524419000023045,9.514383099973202,9.669577400025446,9.67984160000924,9.67984160000924,9.67984160000924,9.67984160000924,9.879811600025278,9.879811600025278,9.879811600025278,9.879811600025278,9.869071000022814,9.869104599987622,9.879811600025278,10.679342999996152,10.668400999973528,,,,,,,,9.514430899987929,9.524419000023045,9.67984160000924,9.669237099995371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h14.45.795,Teamprojekt,,2025.1.0,85.77307705739074,2026-06-16 20h14.50.429778 +0200,
1,0,1,,,,,,,,,,1,0,1,0,,,,,10.679342999996152,,,,,,,,,LR,10.668882000027224,10.679342999996152,10.679342999996152,10.679342999996152,10.679342999996152,10.880746299983002,10.880746299983002,10.880746299983002,10.880746299983002,10.869920199969783,11.02495180000551,11.035422299988568,11.035422299988568,11.035422299988568,11.035422299988568,11.235706300009042,11.235706300009042,11.235706300009042,11.235706300009042,11.22407449997263,11.22410829999717,11.235706300009042,12.035732600023039,12.023966500011738,,,,,,,,10.869976399990264,10.880746299983002,11.035422299988568,11.024611499975435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h14.45.795,Teamprojekt,,2025.1.0,85.77307705739074,2026-06-16 20h14.50.429778 +0200,
2,0,2,,,,,,,,,,2,0,2,0,,,,,12.035732600023039,,,,,,,,,LR,12.024629099993035,12.035732600023039,12.035732600023039,12.035732600023039,12.035732600023039,12.234836100018583,12.234836100018583,12.234836100018583,12.234836100018583,12.224150400026701,12.379801800008863,12.391473399999086,12.391473399999086,12.391473399999086,12.391473399999086,12.590372300008312,12.590372300008312,12.590372300008312,12.590372300008312,12.580092800024431,12.580128800007515,12.590372300008312,13.39132029999746,13.37960899999598,,,,,,,,12.224198399984743,12.234836100018583,12.391473399999086,12.379438799980562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h14.45.795,Teamprojekt,,2025.1.0,85.77307705739074,2026-06-16 20h14.50.429778 +0200,
3,0,3,,,,,,,,,,3,0,3,0,,,,,13.39132029999746,,,,,,,,,LR,13.380240099970251,13.39132029999746,13.39132029999746,13.39132029999746,13.39132029999746,13.590414399979636,13.590414399979636,13.590414399979636,13.590414399979636,13.579512899974361,13.735606700007338,13.746938100026455,13.746938100026455,13.746938100026455,13.746938100026455,13.945865900022909,13.945865900022909,13.945865900022909,13.945865900022909,13.936361100000795,13.936395599972457,13.945865900022909,14.745897300017532,14.736499299993739,,,,,,,,13.579546799999662,13.590414399979636,13.746938100026455,13.735152599983849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h14.45.795,Teamprojekt,,2025.1.0,85.77307705739074,2026-06-16 20h14.50.429778 +0200,
