thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,InstructionScreen.stopped,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,blank800.stopped,FixationCrossBlank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,keyPractice.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,keyStart.keys,keyStart.rt,keyStart.duration,StartScreen.stopped,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,key_resp.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004260899964720011,0.008030699973460287,0.999523299979046,space,0.671869300014805,None,1.6827248999616131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1.688519199960865,,,,,,,,,RL,1.6834247999940999,1.688519199960865,1.688519199960865,1.688519199960865,1.688519199960865,1.8879640999948606,1.8879640999948606,1.8879640999948606,1.8879640999948606,1.877156499947887,1.8775673999916762,1.8879640999948606,1.8879640999948606,1.8879640999948606,1.8879640999948606,2.0880738999694586,2.0880738999694586,2.0880738999694586,2.0880738999694586,2.0773674999945797,2.0774128999910317,2.0880738999694586,2.878220699960366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
1,0,1,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,2.888428099977318,,,,,,,,,RL,2.8787615999463014,2.888428099977318,2.888428099977318,2.888428099977318,2.888428099977318,3.088582399999723,3.088582399999723,3.088582399999723,3.088582399999723,3.0776796999853104,3.0780259000021033,3.088582399999723,3.088582399999723,3.088582399999723,3.088582399999723,3.2883778999675997,3.2883778999675997,3.2883778999675997,3.2883778999675997,3.27809310000157,3.278140699956566,3.2883778999675997,4.076945699984208,4.087887000001501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
2,0,2,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,4.087887000001501,,,,,,,,,RL,4.077563899976667,4.087887000001501,4.087887000001501,4.087887000001501,4.087887000001501,4.287974699982442,4.287974699982442,4.287974699982442,4.287974699982442,4.277422199957073,4.277874299965333,4.287974699982442,4.287974699982442,4.287974699982442,4.287974699982442,4.4882074999623,4.4882074999623,4.4882074999623,4.4882074999623,4.4774510999559425,4.477508099982515,4.4882074999623,5.277659099956509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
3,0,3,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,5.287752499978524,,,,,,,,,RL,5.278253700002097,5.287752499978524,5.287752499978524,5.287752499978524,5.287752499978524,5.487995599978603,5.487995599978603,5.487995599978603,5.487995599978603,5.477325699990615,5.477809299947694,5.487995599978603,5.487995599978603,5.487995599978603,5.487995599978603,5.687821599945892,5.687821599945892,5.687821599945892,5.687821599945892,5.677451999974437,5.677485199994408,5.687821599945892,6.477803399960976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.477916699950583,6.487852999998722,6.97766719997162,7.210291499970481,space,0.2238243999890983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,7.222242299991194,,,,,,,,,LR,7.210998999944422,7.222242299991194,7.222242299991194,7.222242299991194,7.222242299991194,7.421132599993143,7.421132599993143,7.421132599993143,7.421132599993143,7.410572899971157,7.566026299959049,7.577508199959993,7.577508199959993,7.577508199959993,7.577508199959993,7.776710799953435,7.776710799953435,7.776710799953435,7.776710799953435,7.767456899979152,7.7675065999501385,7.776710799953435,8.565720699960366,8.577841599995736,,,,,,,,7.410602799966,7.421132599993143,7.577508199959993,7.565670599986333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
1,0,1,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,8.577841599995736,,,,,,,,,RL,8.56623379996745,8.577841599995736,8.577841599995736,8.577841599995736,8.577841599995736,8.777035499981139,8.777035499981139,8.777035499981139,8.777035499981139,8.766669099975843,8.923446499975398,8.93324569996912,8.93324569996912,8.93324569996912,8.93324569996912,9.132953699969221,9.132953699969221,9.132953699969221,9.132953699969221,9.123312299954705,9.123366499959957,9.132953699969221,9.921764399972744,9.9325740999775,,,,,,,,8.766725499997847,8.777035499981139,8.93324569996912,8.922640699951444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
2,0,2,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,9.9325740999775,,,,,,,,,LR,9.922290699963924,9.9325740999775,9.9325740999775,9.9325740999775,9.9325740999775,10.132158199965488,10.132158199965488,10.132158199965488,10.132158199965488,10.122700999956578,10.277986999950372,10.288567499956116,10.288567499956116,10.288567499956116,10.288567499956116,10.487599199987017,10.487599199987017,10.487599199987017,10.487599199987017,10.476704199973028,10.476738299999852,10.487599199987017,11.276907399995252,11.287515899981372,,,,,,,,10.122766299988143,10.132158199965488,10.288567499956116,10.277624899987131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
3,0,3,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,11.287515899981372,,,,,,,,,RL,11.277490999957081,11.287515899981372,11.287515899981372,11.287515899981372,11.287515899981372,11.487486199999694,11.487486199999694,11.487486199999694,11.487486199999694,11.47661589999916,11.632641699980013,11.6430621999898,11.6430621999898,11.6430621999898,11.6430621999898,11.843791699968278,11.843791699968278,11.843791699968278,11.843791699968278,11.833289599977434,11.83332369994605,11.843791699968278,12.632601199962664,12.64339799998561,,,,,,,,11.476648299954832,11.487486199999694,11.6430621999898,11.632068599981721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h16.34.728,Teamprojekt,,2025.1.0,86.23841817570244,2026-06-16 20h16.39.256714 +0200,
