thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,InstructionScreen.stopped,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,keyPractice.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.003048200043849647,0.006768300023395568,0.9974996999953873,space,1.0101118999882601,None,2.0139836000162177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h50.36.405,Teamprojekt,,2025.1.0,85.4762222086326,2026-06-16 20h50.40.382998 +0200,
0,0,0,,,,,,0,0,0,0,,,,,,,,,2.0197025000234134,,,,,,,,,LR,2.0146279000327922,2.0197025000234134,2.0197025000234134,2.0197025000234134,2.0197025000234134,2.221099000016693,2.221099000016693,2.221099000016693,2.221099000016693,2.209162000042852,2.2095556000131182,2.221099000016693,2.221099000016693,2.221099000016693,2.221099000016693,2.419683200016152,2.419683200016152,2.419683200016152,2.419683200016152,2.4098022000398487,2.4098493000492454,2.419683200016152,3.220617900020443,3.208784700022079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h50.36.405,Teamprojekt,,2025.1.0,85.4762222086326,2026-06-16 20h50.40.382998 +0200,
1,0,1,,,,,,1,0,1,0,,,,,,,,,3.220617900020443,,,,,,,,,LR,3.209365600021556,3.220617900020443,3.220617900020443,3.220617900020443,3.220617900020443,3.4199724000063725,3.4199724000063725,3.4199724000063725,3.4199724000063725,3.4098358000046574,3.410277000046335,3.4199724000063725,3.4199724000063725,3.4199724000063725,3.4199724000063725,3.620714000018779,3.620714000018779,3.620714000018779,3.620714000018779,3.6097186999977566,3.6097626000409946,3.620714000018779,4.419501700031105,4.409655200026464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h50.36.405,Teamprojekt,,2025.1.0,85.4762222086326,2026-06-16 20h50.40.382998 +0200,
2,0,2,,,,,,2,0,2,0,,,,,,,,,4.419501700031105,,,,,,,,,LR,4.410282300028484,4.419501700031105,4.419501700031105,4.419501700031105,4.419501700031105,4.6205598000087775,4.6205598000087775,4.6205598000087775,4.6205598000087775,4.608663200051524,4.609119900036603,4.6205598000087775,4.6205598000087775,4.6205598000087775,4.6205598000087775,4.820488800003659,4.820488800003659,4.820488800003659,4.820488800003659,4.808832500013523,4.808865700033493,4.820488800003659,,5.6095816000015475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h50.36.405,Teamprojekt,,2025.1.0,85.4762222086326,2026-06-16 20h50.40.382998 +0200,
3,0,3,,,,,,3,0,3,0,,,,,,,,,5.620538800023496,,,,,,,,,LR,5.610212700034026,5.620538800023496,5.620538800023496,5.620538800023496,5.620538800023496,5.8195660000201315,5.8195660000201315,5.8195660000201315,5.8195660000201315,5.809800999995787,5.810346000012942,5.8195660000201315,5.8195660000201315,5.8195660000201315,5.8195660000201315,6.019512000028044,6.019512000028044,6.019512000028044,6.019512000028044,6.009568200039212,6.009611500019673,6.019512000028044,6.820202600036282,6.809532900049817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h50.36.405,Teamprojekt,,2025.1.0,85.4762222086326,2026-06-16 20h50.40.382998 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.809671800001524,6.820202600036282,7.30929990002187,7.419969100039452,space,0.10620700003346428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h50.36.405,Teamprojekt,,2025.1.0,85.4762222086326,2026-06-16 20h50.40.382998 +0200,
0,0,0,,,,,,,,,,0,0,0,0,,,,,7.430633900046814,,,,,,,,,RL,7.420775400009006,7.430633900046814,7.430633900046814,7.430633900046814,7.430633900046814,7.630962199997157,7.630962199997157,7.630962199997157,7.630962199997157,7.620657499996014,7.776614300033543,7.786009200033732,7.786009200033732,7.786009200033732,7.786009200033732,7.986987000040244,7.986987000040244,7.986987000040244,7.986987000040244,7.975465800031088,7.9754976000403985,7.986987000040244,,8.775974899996072,,,,,,,,7.620700700033922,7.630962199997157,7.786009200033732,7.7761410000384785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h50.36.405,Teamprojekt,,2025.1.0,85.4762222086326,2026-06-16 20h50.40.382998 +0200,
1,0,1,,,,,,,,,,1,0,1,0,,,,,8.786174800014123,,,,,,,,,RL,8.776849600020796,8.786174800014123,8.786174800014123,8.786174800014123,8.786174800014123,8.987086900044233,8.987086900044233,8.987086900044233,8.987086900044233,8.975314400042407,9.131035400030669,9.142248200019822,9.142248200019822,9.142248200019822,9.142248200019822,9.342725399998017,9.342725399998017,9.342725399998017,9.342725399998017,9.330891799996607,9.330952500051353,9.342725399998017,,10.131256200023927,,,,,,,,8.975354099995457,8.987086900044233,9.142248200019822,9.130673500010744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h50.36.405,Teamprojekt,,2025.1.0,85.4762222086326,2026-06-16 20h50.40.382998 +0200,
2,0,2,,,,,,,,,,2,0,2,0,,,,,10.142176699999254,,,,,,,,,RL,10.131788300001062,10.142176699999254,10.142176699999254,10.142176699999254,10.142176699999254,10.342408500029705,10.342408500029705,10.342408500029705,10.342408500029705,10.330925500020385,10.486727100040298,10.498073399998248,10.498073399998248,10.498073399998248,10.498073399998248,10.697751900006551,10.697751900006551,10.697751900006551,10.697751900006551,10.686709700035863,10.68674249999458,10.697751900006551,11.497293699998409,11.486524900014047,,,,,,,,10.330973700038157,10.342408500029705,10.498073399998248,10.486337200039998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h50.36.405,Teamprojekt,,2025.1.0,85.4762222086326,2026-06-16 20h50.40.382998 +0200,
3,0,3,,,,,,,,,,3,0,3,0,,,,,11.497293699998409,,,,,,,,,RL,11.48710830003256,11.497293699998409,11.497293699998409,11.497293699998409,11.497293699998409,11.69719110004371,11.69719110004371,11.69719110004371,11.69719110004371,11.68706090003252,11.843015599995852,11.85369780001929,11.85369780001929,11.85369780001929,11.85369780001929,12.052914800005965,12.052914800005965,12.052914800005965,12.052914800005965,12.042141700047068,12.042191500018816,12.052914800005965,,12.842539000033867,,,,,,,,11.687110500002746,11.69719110004371,11.85369780001929,11.842577300034463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h50.36.405,Teamprojekt,,2025.1.0,85.4762222086326,2026-06-16 20h50.40.382998 +0200,
