thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,blank800.stopped,FixationCrossBlank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,keyPractice.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,key_resp.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038630000199191272,0.008209099993109703,0.9995181999984197,1.8991891000187024,space,0.8941130000166595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1.9105344000272453,,,,,,,,,RL,1.8999110999866389,1.9105344000272453,1.9105344000272453,1.9105344000272453,1.9105344000272453,3.9097961999941617,3.9097961999941617,3.9097961999941617,3.9097961999941617,3.8990845999796875,3.899477200000547,3.9097961999941617,3.9097961999941617,3.9097961999941617,3.9097961999941617,5.910695799975656,5.910695799975656,5.910695799975656,5.910695799975656,5.898911099997349,5.898941399995238,5.910695799975656,6.700577699986752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
1,0,1,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,6.709761900012381,,,,,,,,,LR,6.701508300029673,6.709761900012381,6.709761900012381,6.709761900012381,6.709761900012381,8.709673099976499,8.709673099976499,8.709673099976499,8.709673099976499,8.699638399994,8.70006810000632,8.709673099976499,8.709673099976499,8.709673099976499,8.709673099976499,10.710570900002494,10.710570900002494,10.710570900002494,10.710570900002494,10.698649999976624,10.698695599974599,10.710570900002494,11.499461799976416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
2,0,2,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,11.509501599997748,,,,,,,,,RL,11.50020950002363,11.509501599997748,11.509501599997748,11.509501599997748,11.509501599997748,13.509436600026675,13.509436600026675,13.509436600026675,13.509436600026675,13.499567800026853,13.500040400016587,13.509436600026675,13.509436600026675,13.509436600026675,13.509436600026675,15.509268800029531,15.509268800029531,15.509268800029531,15.509268800029531,15.49855000001844,15.498595100012608,15.509268800029531,16.298363099980634,16.309373800002504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
3,0,3,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,16.309373800002504,,,,,,,,,LR,16.298869799997192,16.309373800002504,16.309373800002504,16.309373800002504,16.309373800002504,18.30925470002694,18.30925470002694,18.30925470002694,18.30925470002694,18.298266700003296,18.298623399983626,18.30925470002694,18.30925470002694,18.30925470002694,18.30925470002694,20.309731299988925,20.309731299988925,20.309731299988925,20.309731299988925,20.298430100025143,20.298468200024217,20.309731299988925,21.098499400017317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.098592000023928,21.108977900003083,21.598072000022512,22.4326982999919,space,0.8313200999982655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,22.44222790002823,,,,,,,,,RL,22.433816600008868,22.44222790002823,22.44222790002823,22.44222790002823,22.44222790002823,24.44224810000742,24.44224810000742,24.44224810000742,24.44224810000742,24.432488000020385,24.588114999991376,24.597721500031184,24.597721500031184,24.597721500031184,24.597721500031184,26.598207100003492,26.598207100003492,26.598207100003492,26.598207100003492,26.586814099980984,26.58685860002879,26.598207100003492,27.387480399978813,,,,,,,,,24.432533300016075,24.44224810000742,24.597721500031184,24.58774300001096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
1,0,1,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,27.397655099979602,,,,,,,,,LR,27.388047499989625,27.397655099979602,27.397655099979602,27.397655099979602,27.397655099979602,29.398086700006388,29.398086700006388,29.398086700006388,29.398086700006388,29.387122299987823,29.54263009998249,29.553014600009192,29.553014600009192,29.553014600009192,29.553014600009192,31.55284489999758,31.55284489999758,31.55284489999758,31.55284489999758,31.54240530001698,31.54247009998653,31.55284489999758,32.34253460000036,,,,,,,,,29.387157500023022,29.398086700006388,29.553014600009192,29.542252100014593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
2,0,2,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,32.353953499987256,,,,,,,,,LR,32.34304579999298,32.353953499987256,32.353953499987256,32.353953499987256,32.353953499987256,34.35308359999908,34.35308359999908,34.35308359999908,34.35308359999908,34.34220960002858,34.498701600008644,34.50850569998147,34.50850569998147,34.50850569998147,34.50850569998147,36.509340599994175,36.509340599994175,36.509340599994175,36.509340599994175,36.49840789998416,36.49846809997689,36.509340599994175,37.29723299999023,37.308198100014124,,,,,,,,34.34224670002004,34.35308359999908,34.50850569998147,34.49818569998024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
3,0,3,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,37.308198100014124,,,,,,,,,LR,37.298004399985075,37.308198100014124,37.308198100014124,37.308198100014124,37.308198100014124,39.30808109999634,39.30808109999634,39.30808109999634,39.30808109999634,39.297208299976774,39.45402250002371,39.464229899982456,39.464229899982456,39.464229899982456,39.464229899982456,41.463595299981534,41.463595299981534,41.463595299981534,41.463595299981534,41.45274179999251,41.452789500006475,41.463595299981534,42.25289120001253,42.26362129999325,,,,,,,,39.29724330001045,39.30808109999634,39.464229899982456,39.45348510000622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.253031000029296,42.26362129999325,42.75277630001074,52.37524989998201,space,9.616603299975395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
0,0,0,Standard,0.16,f,2.571939100045711,None,,,,,,,,,,,,,,0,0,0,11,,,,,,,,,52.39178509998601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.11902320000809,57.1294694999815,57.91926190000959,,,,,,,,,,,,,,,,,,,,#F781BF,52.38500990002649,52.39178509998601,52.39178509998601,52.39178509998601,52.39178509998601,52.39178509998601,52.39178509998601,52.39178509998601,54.385039400018286,54.385039400018286,54.385039400018286,54.385039400018286,54.385039400018286,54.385039400018286,54.385039400018286,54.37513330002548,54.3751823999919,54.385039400018286,54.54137089999858,54.53009030001704,54.53294810000807,54.54137089999858,54.54137089999858,54.54137089999858,54.54137089999858,54.54137089999858,54.54137089999858,54.54137089999858,54.54137089999858,56.54045510001015,56.54045510001015,56.54045510001015,56.54045510001015,56.54045510001015,56.54045510001015,57.118955600017216,f,2.571939100045711,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
1,1,0,Portal,0,f,1.7775471999775618,None,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,57.92918570002075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.70936360000633,61.71809239999857,62.50755719997687,62.517840899992734,,,,,,,,,,,,,,,,,,,#E41A1C,57.922507799987216,57.92918570002075,57.92918570002075,57.92918570002075,57.92918570002075,57.92918570002075,57.92918570002075,57.92918570002075,59.92969830002403,59.92969830002403,59.92969830002403,59.92969830002403,59.92969830002403,59.92969830002403,59.92969830002403,59.91962619998958,59.91967079997994,59.92969830002403,59.92969830002403,59.919785399979446,59.9227988999919,59.92969830002403,59.92969830002403,59.92969830002403,59.92969830002403,59.92969830002403,59.92969830002403,59.92969830002403,59.92969830002403,,,,,,,61.709232399996836,f,1.7775471999775618,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
2,2,0,Portal,0.02,f,1.0112673999974504,None,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,62.517840899992734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.55279729998438,65.56257519999053,66.35162079997826,66.36296930001117,,,,,,,,,,,,,,,,,,,#984EA3,62.51039970002603,62.517840899992734,62.517840899992734,62.517840899992734,62.517840899992734,62.517840899992734,62.517840899992734,62.517840899992734,64.51879170001484,64.51879170001484,64.51879170001484,64.51879170001484,64.51879170001484,64.51879170001484,64.51879170001484,64.50759069999913,64.50762789999135,64.51879170001484,64.5400211000233,64.53004649997456,64.53346700000111,64.5400211000233,64.5400211000233,64.5400211000233,64.5400211000233,64.5400211000233,64.5400211000233,64.5400211000233,64.5400211000233,,,,,,,65.55269510002108,f,1.0112673999974504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
3,3,0,Barrier,0,f,1.0915368999703787,None,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,66.36296930001117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.46350630000234,69.4731781000155,70.26312040002085,70.27297009999165,,,,,,,,,,,,,,,,,,,#E41A1C,66.35506239999086,66.36296930001117,66.36296930001117,66.36296930001117,66.36296930001117,66.36296930001117,66.36296930001117,66.36296930001117,68.36377060000086,68.36377060000086,68.36377060000086,68.36377060000086,68.36377060000086,68.36377060000086,68.36377060000086,68.35219569999026,68.35224719997495,68.36377060000086,68.36377060000086,68.35236530000111,68.35616610001307,68.36377060000086,68.36377060000086,68.36377060000086,68.36377060000086,68.36377060000086,68.36377060000086,68.36377060000086,68.36377060000086,,,,,,,69.46338010003092,f,1.0915368999703787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
4,4,0,Portal,0.08,f,0.9965478999656625,None,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,70.27297009999165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.35115170001518,73.36276659998111,74.15215089998674,,,,,,,,,,,,,,,,,,,,#F781BF,70.266220599995,70.27297009999165,70.27297009999165,70.27297009999165,70.27297009999165,70.27297009999165,70.27297009999165,70.27297009999165,72.27300460002152,72.27300460002152,72.27300460002152,72.27300460002152,72.27300460002152,72.27300460002152,72.27300460002152,72.26312419999158,72.26317490002839,72.27300460002152,72.35136580001563,72.34080290002748,72.34437920001801,72.35136580001563,72.35136580001563,72.35136580001563,72.35136580001563,72.35136580001563,72.35136580001563,72.35136580001563,72.35136580001563,,,,,,,73.35107899998548,f,0.9965478999656625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
5,5,0,Barrier,0.16,f,0.5905564000131562,None,,,,,,,,,,,,,,0,5,5,7,,,,,,,,,74.1617887999746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.91863119998015,76.92917810002109,77.71726649999619,77.72826150001492,,,,,,,,,,,,,,,,,,,#F781BF,74.15598059998592,74.1617887999746,74.1617887999746,74.1617887999746,74.1617887999746,74.1617887999746,74.1617887999746,74.1617887999746,76.16272389999358,76.16272389999358,76.16272389999358,76.16272389999358,76.16272389999358,76.16272389999358,76.16272389999358,76.15173789998516,76.15178760001436,76.16272389999358,76.318079699995,76.3073541999911,76.31084430002375,76.318079699995,76.318079699995,76.318079699995,76.318079699995,76.318079699995,76.318079699995,76.318079699995,76.318079699995,,,,,,,76.9185307000298,f,0.5905564000131562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
6,6,0,Standard,0,f,0.8176377000054345,None,,,,,,,,,,,,,,0,6,6,8,,,,,,,,,77.72826150001492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.55066589999478,80.56188039999688,81.35121470002923,,,,,,,,,,,,,,,,,,,,#E41A1C,77.7203818000271,77.72826150001492,77.72826150001492,77.72826150001492,77.72826150001492,77.72826150001492,77.72826150001492,77.72826150001492,79.7287221000297,79.7287221000297,79.7287221000297,79.7287221000297,79.7287221000297,79.7287221000297,79.7287221000297,79.7185068000108,79.71855759999016,79.7287221000297,79.7287221000297,79.71867480000947,79.72164040000644,79.7287221000297,79.7287221000297,79.7287221000297,79.7287221000297,79.7287221000297,79.7287221000297,79.7287221000297,79.7287221000297,,,,,,,80.55059980001533,f,0.8176377000054345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h51.31.615,Teamprojekt,,2025.1.0,87.00085438477377,2026-06-16 20h51.36.102032 +0200,
