thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,keyPractice.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,key_resp.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037936000153422356,0.008686100016348064,1.004301100037992,1.8269284000271,space,0.8173059999826364,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1.8364498000009917,,,,,,,,,RL,1.827952900028322,1.8364498000009917,1.8364498000009917,1.8364498000009917,1.8364498000009917,2.8363916000234894,2.8363916000234894,2.8363916000234894,2.8363916000234894,2.8265607000212185,2.827237000048626,2.8363916000234894,2.8363916000234894,2.8363916000234894,2.8363916000234894,3.836414600024,3.836414600024,3.836414600024,3.836414600024,3.82669260003604,3.8267379000317305,3.836414600024,4.636403600045014,4.626179500017315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
1,0,1,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,4.636403600045014,,,,,,,,,LR,4.626667500007898,4.636403600045014,4.636403600045014,4.636403600045014,4.636403600045014,5.637185100000352,5.637185100000352,5.637185100000352,5.637185100000352,5.62630350003019,5.626758800004609,5.637185100000352,5.637185100000352,5.637185100000352,5.637185100000352,6.637140500009991,6.637140500009991,6.637140500009991,6.637140500009991,6.626347800018266,6.626380600035191,6.637140500009991,,7.427071800047997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
2,0,2,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,7.436218600021675,,,,,,,,,LR,7.42789630003972,7.436218600021675,7.436218600021675,7.436218600021675,7.436218600021675,8.43623240001034,8.43623240001034,8.43623240001034,8.43623240001034,8.425329600053374,8.425694600038696,8.43623240001034,8.43623240001034,8.43623240001034,8.43623240001034,9.436823200026993,9.436823200026993,9.436823200026993,9.436823200026993,9.426212500024121,9.42624420003267,9.436823200026993,10.236005200014915,10.22600570000941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
3,0,3,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,10.236005200014915,,,,,,,,,LR,10.22679030004656,10.236005200014915,10.236005200014915,10.236005200014915,10.236005200014915,11.236629400053062,11.236629400053062,11.236629400053062,11.236629400053062,11.225126200006343,11.225473900034558,11.236629400053062,11.236629400053062,11.236629400053062,11.236629400053062,12.236692300008144,12.236692300008144,12.236692300008144,12.236692300008144,12.225017700053286,12.22504960000515,12.236692300008144,,13.025625900016166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.02572960004909,13.03605019999668,13.524992500024382,14.09230200003367,space,0.5583856999874115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,14.102477000036743,,,,,,,,,LR,14.092965200019535,14.102477000036743,14.102477000036743,14.102477000036743,14.102477000036743,15.103413400007412,15.103413400007412,15.103413400007412,15.103413400007412,15.092878199997358,15.248104300000705,15.257974500011187,15.257974500011187,15.257974500011187,15.257974500011187,16.257951200008392,16.257951200008392,16.257951200008392,16.257951200008392,16.248040800041053,16.24811090005096,16.257951200008392,17.058474400022533,17.047739400004502,,,,,,,,15.092946400051005,15.103413400007412,15.257974500011187,15.247768400004134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
1,0,1,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,17.058474400022533,,,,,,,,,LR,17.04823930002749,17.058474400022533,17.058474400022533,17.058474400022533,17.058474400022533,18.058870700013358,18.058870700013358,18.058870700013358,18.058870700013358,18.047526100010145,18.204307100037113,18.213411900040228,18.213411900040228,18.213411900040228,18.213411900040228,19.214432100008707,19.214432100008707,19.214432100008707,19.214432100008707,19.20340680005029,19.203451000037603,19.214432100008707,,20.003775100049097,,,,,,,,18.04755690001184,18.058870700013358,18.213411900040228,18.2036272000405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
2,0,2,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,20.01339730003383,,,,,,,,,RL,20.004696700023487,20.01339730003383,20.01339730003383,20.01339730003383,20.01339730003383,21.014225999999326,21.014225999999326,21.014225999999326,21.014225999999326,21.00330090004718,21.160011300002225,21.16902970004594,21.16902970004594,21.16902970004594,21.16902970004594,22.169381400046404,22.169381400046404,22.169381400046404,22.169381400046404,22.158671400044113,22.158706000016537,22.169381400046404,22.96919060003711,22.958796500053722,,,,,,,,21.003344000026118,21.014225999999326,21.16902970004594,21.159514700004365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
3,0,3,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,22.96919060003711,,,,,,,,,LR,22.959555900015403,22.96919060003711,22.96919060003711,22.96919060003711,22.96919060003711,23.969231499999296,23.969231499999296,23.969231499999296,23.969231499999296,23.95870630000718,24.11361770000076,24.124602299998514,24.124602299998514,24.124602299998514,24.124602299998514,25.124094800034072,25.124094800034072,25.124094800034072,25.124094800034072,25.114164700033143,25.11420980002731,25.124094800034072,25.925090600037947,25.9131712000235,,,,,,,,23.958739200024866,23.969231499999296,24.124602299998514,24.11320160003379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_20h57.08.453,Teamprojekt,,2025.1.0,87.27633259135845,2026-06-16 20h57.13.357319 +0200,
