thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,blank800.stopped,FixationCrossBlank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,keyPractice.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,key_resp.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006831999984569848,0.012493600021116436,1.0019479999900796,1.7014255999820307,space,0.6907034000032581,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h13.08.301,Teamprojekt,,2025.1.0,87.98123533395923,2026-06-16 21h13.12.816579 +0200,
0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1.713304299977608,,,,,,,,,RL,1.7021798000205308,1.713304299977608,1.713304299977608,1.713304299977608,1.713304299977608,2.713282699987758,2.713282699987758,2.713282699987758,2.713282699987758,2.7014007000252604,2.7018128000199795,2.713282699987758,2.713282699987758,2.713282699987758,2.713282699987758,3.7127313999808393,3.7127313999808393,3.7127313999808393,3.7127313999808393,3.702303000027314,3.702348900027573,3.7127313999808393,4.502643599989824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h13.08.301,Teamprojekt,,2025.1.0,87.98123533395923,2026-06-16 21h13.12.816579 +0200,
1,0,1,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,4.5121596999815665,,,,,,,,,LR,4.5034850999945775,4.5121596999815665,4.5121596999815665,4.5121596999815665,4.5121596999815665,5.5131188000086695,5.5131188000086695,5.5131188000086695,5.5131188000086695,5.501313599990681,5.501747899979819,5.5131188000086695,5.5131188000086695,5.5131188000086695,5.5131188000086695,6.512709699978586,6.512709699978586,6.512709699978586,6.512709699978586,6.502626599976793,6.502660300000571,6.512709699978586,7.301161399984267,7.312950899999123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h13.08.301,Teamprojekt,,2025.1.0,87.98123533395923,2026-06-16 21h13.12.816579 +0200,
2,0,2,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,7.312950899999123,,,,,,,,,RL,7.301660500001162,7.312950899999123,7.312950899999123,7.312950899999123,7.312950899999123,8.311919700005092,8.311919700005092,8.311919700005092,8.311919700005092,8.301079400000162,8.301485500007402,8.311919700005092,8.311919700005092,8.311919700005092,8.311919700005092,9.311925699992571,9.311925699992571,9.311925699992571,9.311925699992571,9.30182320001768,9.30185559997335,9.311925699992571,10.101416899997275,10.112728799984325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h13.08.301,Teamprojekt,,2025.1.0,87.98123533395923,2026-06-16 21h13.12.816579 +0200,
3,0,3,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,10.112728799984325,,,,,,,,,RL,10.102018999983557,10.112728799984325,10.112728799984325,10.112728799984325,10.112728799984325,11.111821600003168,11.111821600003168,11.111821600003168,11.111821600003168,11.10088949999772,11.101244100020267,11.111821600003168,11.111821600003168,11.111821600003168,11.111821600003168,12.111925899982452,12.111925899982452,12.111925899982452,12.111925899982452,12.102260200015735,12.102297600009479,12.111925899982452,12.90098430000944,12.912973499973305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h13.08.301,Teamprojekt,,2025.1.0,87.98123533395923,2026-06-16 21h13.12.816579 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.90109709999524,12.912973499973305,13.400715700001456,14.034814600017853,space,0.6248326000059023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h13.08.301,Teamprojekt,,2025.1.0,87.98123533395923,2026-06-16 21h13.12.816579 +0200,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,14.044924599991646,,,,,,,,,RL,14.035524800012354,14.044924599991646,14.044924599991646,14.044924599991646,14.044924599991646,15.044905200018547,15.044905200018547,15.044905200018547,15.044905200018547,15.035159800027031,15.190851700026542,15.20051679998869,15.20051679998869,15.20051679998869,15.20051679998869,16.200883499986958,16.200883499986958,16.200883499986958,16.200883499986958,16.190176800009795,16.190214100002777,16.200883499986958,16.989552000013646,17.001521500002127,,,,,,,,15.035193099989556,15.044905200018547,15.20051679998869,15.190473499998916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h13.08.301,Teamprojekt,,2025.1.0,87.98123533395923,2026-06-16 21h13.12.816579 +0200,
1,0,1,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,17.001521500002127,,,,,,,,,LR,16.990275599993765,17.001521500002127,17.001521500002127,17.001521500002127,17.001521500002127,18.00058719998924,18.00058719998924,18.00058719998924,18.00058719998924,17.990399100002833,18.146351900009904,18.15668309998,18.15668309998,18.15668309998,18.15668309998,19.155747000011615,19.155747000011615,19.155747000011615,19.155747000011615,19.145821599988267,19.145868799998425,19.155747000011615,19.94520930002909,19.95654540002579,,,,,,,,17.990448000025935,18.00058719998924,18.15668309998,18.14589149999665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h13.08.301,Teamprojekt,,2025.1.0,87.98123533395923,2026-06-16 21h13.12.816579 +0200,
2,0,2,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,19.95654540002579,,,,,,,,,RL,19.945716099988203,19.95654540002579,19.95654540002579,19.95654540002579,19.95654540002579,20.956723999988753,20.956723999988753,20.956723999988753,20.956723999988753,20.94558880000841,21.10096720000729,21.11220819997834,21.11220819997834,21.11220819997834,21.11220819997834,22.11183389998041,22.11183389998041,22.11183389998041,22.11183389998041,22.100978099973872,22.101025099982508,22.11183389998041,22.901260500017088,,,,,,,,,20.945633600000292,20.956723999988753,21.11220819997834,21.1004967999761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h13.08.301,Teamprojekt,,2025.1.0,87.98123533395923,2026-06-16 21h13.12.816579 +0200,
3,0,3,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,22.91155020002043,,,,,,,,,LR,22.902045199996792,22.91155020002043,22.91155020002043,22.91155020002043,22.91155020002043,23.91146159998607,23.91146159998607,23.91146159998607,23.91146159998607,23.901586399995722,24.056236999982502,24.06708519998938,24.06708519998938,24.06708519998938,24.06708519998938,25.068079599994235,25.068079599994235,25.068079599994235,25.068079599994235,25.05589090002468,25.055933199997526,25.068079599994235,25.856574999983422,,,,,,,,,23.901635400019586,23.91146159998607,24.06708519998938,24.05589219997637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h13.08.301,Teamprojekt,,2025.1.0,87.98123533395923,2026-06-16 21h13.12.816579 +0200,
