thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,thisRow.t,notes,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,,,0,0,0,0,,,,,,,,,0.012906599964480847,,0.005127399985212833,0.012906599964480847,0.8080609000171535,0.7966972999856807,,001,2026-06-16_21h21.09.115,Teamprojekt,,2025.1.0,85.5007049537034,2026-06-16 21h21.12.804440 +0200,
1,0,1,,,1,0,1,0,,,,,,,,,0.8080609000171535,,0.7968458000104874,0.8080609000171535,1.6084924999740906,1.5976238999865018,,001,2026-06-16_21h21.09.115,Teamprojekt,,2025.1.0,85.5007049537034,2026-06-16 21h21.12.804440 +0200,
2,0,2,,,2,0,2,0,,,,,,,,,1.6084924999740906,,1.5978260000119917,1.6084924999740906,2.4077932999935,2.3971179999643937,,001,2026-06-16_21h21.09.115,Teamprojekt,,2025.1.0,85.5007049537034,2026-06-16 21h21.12.804440 +0200,
3,0,3,,,3,0,3,0,,,,,,,,,2.4077932999935,,2.397240999969654,2.4077932999935,,3.262677899969276,,001,2026-06-16_21h21.09.115,Teamprojekt,,2025.1.0,85.5007049537034,2026-06-16 21h21.12.804440 +0200,
0,0,0,,,,,,,0,0,0,0,,,,,3.2690077999723144,,3.2630228999769315,3.2690077999723144,,4.007333799963817,,001,2026-06-16_21h21.09.115,Teamprojekt,,2025.1.0,85.5007049537034,2026-06-16 21h21.12.804440 +0200,
1,0,1,,,,,,,1,0,1,0,,,,,4.0183120999718085,,4.0074838000000454,4.0183120999718085,,4.806092899991199,,001,2026-06-16_21h21.09.115,Teamprojekt,,2025.1.0,85.5007049537034,2026-06-16 21h21.12.804440 +0200,
2,0,2,,,,,,,2,0,2,0,,,,,4.817095800011884,,4.806274399976246,4.817095800011884,,5.607390999968629,,001,2026-06-16_21h21.09.115,Teamprojekt,,2025.1.0,85.5007049537034,2026-06-16 21h21.12.804440 +0200,
3,0,3,,,,,,,3,0,3,0,,,,,5.61814500001492,,5.607649100013077,5.61814500001492,,6.406410499999765,,001,2026-06-16_21h21.09.115,Teamprojekt,,2025.1.0,85.5007049537034,2026-06-16 21h21.12.804440 +0200,
0,0,0,Portal,0,,,,,,,,,0,0,0,0,6.416824700019788,,6.413558700005524,6.416824700019788,,7.2067008999874815,,001,2026-06-16_21h21.09.115,Teamprojekt,,2025.1.0,85.5007049537034,2026-06-16 21h21.12.804440 +0200,
1,1,0,Barrier,0,,,,,,,,,0,1,1,4,7.217784299980849,,7.206947600003332,7.217784299980849,,8.00605640001595,,001,2026-06-16_21h21.09.115,Teamprojekt,,2025.1.0,85.5007049537034,2026-06-16 21h21.12.804440 +0200,
2,2,0,Standard,0.16,,,,,,,,,0,2,2,11,8.016815399983898,,8.006274799990933,8.016815399983898,,8.820608099980745,,001,2026-06-16_21h21.09.115,Teamprojekt,,2025.1.0,85.5007049537034,2026-06-16 21h21.12.804440 +0200,
3,3,0,Standard,0.08,,,,,,,,,0,3,3,10,8.828686099965125,,8.820754699991085,8.828686099965125,,9.610437299998011,,001,2026-06-16_21h21.09.115,Teamprojekt,,2025.1.0,85.5007049537034,2026-06-16 21h21.12.804440 +0200,
4,4,0,Portal,0.02,,,,,,,,,0,4,4,1,9.622510700020939,,9.610684400016908,9.622510700020939,,,,,,,,,,,
