thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,causalColor,direction,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,key_resp.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,blockBreak.started,keyBlockContinue.started,textBlockInstructions.started,blockBreak.stopped,blockLoop.keyBlockContinue.keys,blockLoop.keyBlockContinue.rt,blockLoop.keyBlockContinue.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.006662399973720312,,0.0030857999809086323,0.006662399973720312,0.8093961999984458,0.7986126999603584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
1,0,1,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,0.8093961999984458,,0.798803899961058,0.8093961999984458,1.6086623999872245,1.5983994000125676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
2,0,2,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,1.6086623999872245,,1.5985789999831468,1.6086623999872245,2.408901799994055,2.398681899998337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
3,0,3,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,2.408901799994055,,2.398883699963335,2.408901799994055,3.2093889999669045,3.198367699980736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,3.2093889999669045,,3.1987095999647863,3.2093889999669045,4.006592299963813,3.995834900008049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
1,0,1,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,4.006592299963813,,3.9959644000045955,4.006592299963813,4.806878599978518,4.797022599959746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
2,0,2,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,4.806878599978518,,4.797223099973053,4.806878599978518,5.608211699989624,5.595497799979057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
3,0,3,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,5.608211699989624,,5.595619899977464,5.608211699989624,6.406255199981388,6.395655000000261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
0,0,0,Barrier,0.08,,,,,,,,,,,,,,0,0,0,6,,,,,,,,,6.406255199981388,,6.403128499980085,6.406255199981388,7.206276499957312,7.1953614999656565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
1,1,0,Standard,0.02,,,,,,,,,,,,,,0,1,1,9,,,,,,,,,7.206276499957312,,7.195551999961026,7.206276499957312,8.007162699999753,7.995600499969441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
2,2,0,Portal,0.02,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,8.007162699999753,,7.9957851999788545,8.007162699999753,8.806248100008816,8.79572629998438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
3,3,0,Barrier,0.16,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,8.806248100008816,,8.795875500014517,8.806248100008816,9.607073299994227,9.596111099992413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
4,4,0,Standard,0.08,,,,,,,,,,,,,,0,4,4,10,,,,,,,,,9.607073299994227,,9.596314499969594,9.607073299994227,10.406978699960746,10.395190600014757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
5,5,0,Portal,0.08,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,10.406978699960746,,10.395398499967996,10.406978699960746,11.206280999991577,11.195262699970044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
6,6,0,Standard,0.16,,,,,,,,,,,,,,0,6,6,11,,,,,,,,,11.206280999991577,,11.195512900012545,11.206280999991577,12.006014999991748,11.996717199974228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
7,7,0,Portal,0.16,,,,,,,,,,,,,,0,7,7,3,,,,,,,,,12.006014999991748,,11.996935100003611,12.006014999991748,12.806155700003728,12.796448999957647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
8,8,0,Portal,0,,,,,,,,,,,,,,0,8,8,0,,,,,,,,,12.806155700003728,,12.79661139997188,12.806155700003728,13.605957599997055,13.594940099981613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
9,9,0,Barrier,0,,,,,,,,,,,,,,0,9,9,4,,,,,,,,,13.605957599997055,,13.595073300006334,13.605957599997055,14.40594919997966,14.395117399981245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
10,10,0,Standard,0,,,,,,,,,,,,,,0,10,10,8,,,,,,,,,14.40594919997966,,14.395250500005204,14.40594919997966,15.206241599982604,15.194876099994872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
11,11,0,Barrier,0.02,,,,,,,,,,,,,,0,11,11,5,,,,,,,,,15.206241599982604,,15.19500780000817,15.206241599982604,16.006163499958348,15.994996199966408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h22.01.133,Teamprojekt,,2025.1.0,90.03752763902585,2026-06-16 21h22.04.972666 +0200,
