thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,causalColor,direction,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,key_resp.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,blockBreak.started,keyBlockContinue.started,textBlockInstructions.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0.00697679998120293,,0.00285499996971339,0.00697679998120293,0.8030024999752641,0.7914417999563739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
1,0,1,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,0.8030024999752641,,0.7917215999914333,0.8030024999752641,1.603458400000818,1.5910325999720953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
2,0,2,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,1.603458400000818,,1.5911666000029072,1.603458400000818,2.401660699979402,2.391656299994793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
3,0,3,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,2.401660699979402,,2.3917934999917634,2.401660699979402,3.2017399999895133,3.192644900002051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,3.2017399999895133,,3.193439800001215,3.2017399999895133,4.003589899977669,3.9923592999693938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
1,0,1,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,4.003589899977669,,3.992487999959849,4.003589899977669,4.8023030999465846,4.7916151999961585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
2,0,2,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,4.8023030999465846,,4.791790599992964,4.8023030999465846,5.602388799947221,5.591431399981957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
3,0,3,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,5.602388799947221,,5.591560199973173,5.602388799947221,6.402259399998002,6.3922820999869145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
0,0,0,Portal,0.16,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,6.402259399998002,,6.399134099949151,6.402259399998002,7.202270599955227,7.191445499949623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
1,1,0,Standard,0,,,,,,,,,,,,,,0,1,1,8,,,,,,,,,7.202270599955227,,7.1916234999662265,7.202270599955227,8.002390699984971,7.991587699973024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h29.38.090,Teamprojekt,,2025.1.0,84.86781413238099,2026-06-16 21h29.42.696670 +0200,
