thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,thisRow.t,notes,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,,,0,0,0,0,,,,,,,,,0.00657540000975132,,0.003397800028324127,0.00657540000975132,0.8090202999883331,0.7981054999982007,,,,,,,,,001,2026-06-16_21h35.29.970,Teamprojekt,,2025.1.0,87.97179271442522,2026-06-16 21h35.34.316200 +0200,
1,0,1,,,1,0,1,0,,,,,,,,,0.8090202999883331,,0.7982812999980524,0.8090202999883331,1.6101895000319928,1.5987803000025451,,,,,,,,,001,2026-06-16_21h35.29.970,Teamprojekt,,2025.1.0,87.97179271442522,2026-06-16 21h35.34.316200 +0200,
2,0,2,,,2,0,2,0,,,,,,,,,1.6101895000319928,,1.598961399984546,1.6101895000319928,2.409447900019586,2.3984262000303715,,,,,,,,,001,2026-06-16_21h35.29.970,Teamprojekt,,2025.1.0,87.97179271442522,2026-06-16 21h35.34.316200 +0200,
3,0,3,,,3,0,3,0,,,,,,,,,2.409447900019586,,2.3985467000165954,2.409447900019586,3.2098325000260957,3.1993848999845795,,,,,,,,,001,2026-06-16_21h35.29.970,Teamprojekt,,2025.1.0,87.97179271442522,2026-06-16 21h35.34.316200 +0200,
0,0,0,,,,,,,0,0,0,0,,,,,3.2098325000260957,,3.1999478000216186,3.2098325000260957,4.009536900033709,3.998634400020819,,,,,,,,,001,2026-06-16_21h35.29.970,Teamprojekt,,2025.1.0,87.97179271442522,2026-06-16 21h35.34.316200 +0200,
1,0,1,,,,,,,1,0,1,0,,,,,4.009536900033709,,3.99876350001432,4.009536900033709,4.80960859998595,4.798087500035763,,,,,,,,,001,2026-06-16_21h35.29.970,Teamprojekt,,2025.1.0,87.97179271442522,2026-06-16 21h35.34.316200 +0200,
2,0,2,,,,,,,2,0,2,0,,,,,4.80960859998595,,4.79821149999043,4.80960859998595,5.60996959998738,5.598972100007813,,,,,,,,,001,2026-06-16_21h35.29.970,Teamprojekt,,2025.1.0,87.97179271442522,2026-06-16 21h35.34.316200 +0200,
3,0,3,,,,,,,3,0,3,0,,,,,5.60996959998738,,5.599114699987695,5.60996959998738,6.409665199986193,6.398417100019287,,,,,,,,,001,2026-06-16_21h35.29.970,Teamprojekt,,2025.1.0,87.97179271442522,2026-06-16 21h35.34.316200 +0200,
,,,,,,,,,,,,,,,,,,,,,,,6.3985000000102445,6.409665199986193,6.898713000002317,10.20362089999253,space,3.2914614000474103,None,,001,2026-06-16_21h35.29.970,Teamprojekt,,2025.1.0,87.97179271442522,2026-06-16 21h35.34.316200 +0200,
0,0,0,Standard,0.16,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,
