thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,thisRow.t,notes,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,direction,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,keyPractice.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,0,0,0,0,,,,,,,,,0.008416399999987334,,0.004658999969251454,0.008416399999987334,0.8031822000048123,0.7920260999817401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h36.26.366,Teamprojekt,,2025.1.0,86.05281746269998,2026-06-16 21h36.30.190242 +0200,
1,0,1,,,,,,1,0,1,0,,,,,,,,,0.8031822000048123,,0.7922031999914907,0.8031822000048123,1.6045523000066169,1.5930450999876484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h36.26.366,Teamprojekt,,2025.1.0,86.05281746269998,2026-06-16 21h36.30.190242 +0200,
2,0,2,,,,,,2,0,2,0,,,,,,,,,1.6045523000066169,,1.5932300999993458,1.6045523000066169,2.4046944999718107,2.392929199966602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h36.26.366,Teamprojekt,,2025.1.0,86.05281746269998,2026-06-16 21h36.30.190242 +0200,
3,0,3,,,,,,3,0,3,0,,,,,,,,,2.4046944999718107,,2.3930630999966525,2.4046944999718107,3.2046824999852106,3.1929785999818705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h36.26.366,Teamprojekt,,2025.1.0,86.05281746269998,2026-06-16 21h36.30.190242 +0200,
0,0,0,,,,,,,,,,0,0,0,0,,,,,3.2046824999852106,,3.193484899995383,3.2046824999852106,4.003913399996236,3.993774599977769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h36.26.366,Teamprojekt,,2025.1.0,86.05281746269998,2026-06-16 21h36.30.190242 +0200,
1,0,1,,,,,,,,,,1,0,1,0,,,,,4.003913399996236,,3.993901699956041,4.003913399996236,4.804710900003556,4.792913899989799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h36.26.366,Teamprojekt,,2025.1.0,86.05281746269998,2026-06-16 21h36.30.190242 +0200,
2,0,2,,,,,,,,,,2,0,2,0,,,,,4.804710900003556,,4.793087699974421,4.804710900003556,5.604214499995578,5.592736399965361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h36.26.366,Teamprojekt,,2025.1.0,86.05281746269998,2026-06-16 21h36.30.190242 +0200,
3,0,3,,,,,,,,,,3,0,3,0,,,,,5.604214499995578,,5.5928601999767125,5.604214499995578,6.403672399988864,6.393915999971796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h36.26.366,Teamprojekt,,2025.1.0,86.05281746269998,2026-06-16 21h36.30.190242 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,6.3940443999599665,6.403672399988864,6.904052099969704,8.964578499959316,space,2.0532554000383243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h36.26.366,Teamprojekt,,2025.1.0,86.05281746269998,2026-06-16 21h36.30.190242 +0200,
0,0,0,Portal,0.08,f,0.9786293000215665,None,,,,,,,,,0,0,0,2,8.980448599962983,,12.037854099995457,12.047835999983363,12.847741900011897,12.837163299962413,,,,,,,,#1B9E77,RL,8.973903400008567,8.980448599962983,8.980448599962983,8.980448599962983,8.980448599962983,8.980448599962983,8.980448599962983,8.980448599962983,9.981841499975417,9.981841499975417,9.981841499975417,9.981841499975417,9.981841499975417,9.981841499975417,9.981841499975417,9.971373999956995,9.97142239997629,9.981841499975417,10.05928419996053,10.049086199956946,10.053184499964118,10.05928419996053,10.05928419996053,10.05928419996053,10.05928419996053,10.05928419996053,10.05928419996053,10.05928419996053,11.048545599973295,11.05951880000066,11.05951880000066,11.05951880000066,11.05951880000066,11.05951880000066,11.05951880000066,12.037785699998494,f,0.9786293000215665,None,,,,,001,2026-06-16_21h36.26.366,Teamprojekt,,2025.1.0,86.05281746269998,2026-06-16 21h36.30.190242 +0200,
