thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,thisRow.t,notes,blank800.started,FixationCrossBlank800.started,blank800.stopped,FixationCrossBlank800.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,direction,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,keyPractice.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,,,,,,0,0,0,0,,,,,,,,,0.021092500013764948,,0.003277099982369691,0.021092500013764948,0.8015935000148602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h38.16.624,Teamprojekt,,2025.1.0,89.98097805971082,2026-06-16 21h38.20.045940 +0200,
1,0,1,,,,,,1,0,1,0,,,,,,,,,0.8125425000325777,,0.8017470000195317,0.8125425000325777,1.6000981000252068,1.6118903000024147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h38.16.624,Teamprojekt,,2025.1.0,89.98097805971082,2026-06-16 21h38.20.045940 +0200,
2,0,2,,,,,,2,0,2,0,,,,,,,,,1.6118903000024147,,1.6002682999824174,1.6118903000024147,2.400117199984379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h38.16.624,Teamprojekt,,2025.1.0,89.98097805971082,2026-06-16 21h38.20.045940 +0200,
3,0,3,,,,,,3,0,3,0,,,,,,,,,2.410828099993523,,2.4002824000199325,2.410828099993523,3.2012265999801457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h38.16.624,Teamprojekt,,2025.1.0,89.98097805971082,2026-06-16 21h38.20.045940 +0200,
0,0,0,,,,,,,,,,0,0,0,0,,,,,3.2112328999792226,,3.2016542000346817,3.2112328999792226,3.9998337000142783,4.011140900023747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h38.16.624,Teamprojekt,,2025.1.0,89.98097805971082,2026-06-16 21h38.20.045940 +0200,
1,0,1,,,,,,,,,,1,0,1,0,,,,,4.011140900023747,,3.999963400012348,4.011140900023747,4.800732699979562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h38.16.624,Teamprojekt,,2025.1.0,89.98097805971082,2026-06-16 21h38.20.045940 +0200,
2,0,2,,,,,,,,,,2,0,2,0,,,,,4.811451799992938,,4.800947199983057,4.811451799992938,5.600937600014731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h38.16.624,Teamprojekt,,2025.1.0,89.98097805971082,2026-06-16 21h38.20.045940 +0200,
3,0,3,,,,,,,,,,3,0,3,0,,,,,5.610664699983317,,5.601106600021012,5.610664699983317,6.399757999985013,6.410651699989103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h38.16.624,Teamprojekt,,2025.1.0,89.98097805971082,2026-06-16 21h38.20.045940 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,6.399837500008289,6.410651699989103,6.900256699998863,10.84973890002584,space,3.9380000000237487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h38.16.624,Teamprojekt,,2025.1.0,89.98097805971082,2026-06-16 21h38.20.045940 +0200,
0,0,0,Standard,0.16,f,0.6077618999988772,None,,,,,,,,,0,0,0,11,10.868992000003345,,13.625481199997012,13.636352800007444,14.42557239998132,,,,,,,,,#F781BF,LR,10.861252000031527,10.868992000003345,10.868992000003345,10.868992000003345,10.868992000003345,10.868992000003345,10.868992000003345,10.868992000003345,11.86938759998884,11.86938759998884,11.86938759998884,11.86938759998884,11.86938759998884,11.86938759998884,11.86938759998884,11.858559200016316,11.858598800026812,11.86938759998884,12.024975100008305,12.01366960001178,12.016644800023641,12.024975100008305,12.024975100008305,12.024975100008305,12.024975100008305,12.024975100008305,12.024975100008305,12.024975100008305,13.014154999982566,13.026032700028736,13.026032700028736,13.026032700028736,13.026032700028736,13.026032700028736,13.026032700028736,13.625419699994382,f,0.6077618999988772,None,,,,,001,2026-06-16_21h38.16.624,Teamprojekt,,2025.1.0,89.98097805971082,2026-06-16 21h38.20.045940 +0200,
1,1,0,Barrier,0.16,j,0.30686100001912564,None,,,,,,,,,0,1,1,7,14.435537600016687,,16.891976799990516,16.90312829997856,17.692267899983563,,,,,,,,,#E41A1C,LR,14.428973000030965,14.435537600016687,14.435537600016687,14.435537600016687,14.435537600016687,14.435537600016687,14.435537600016687,14.435537600016687,15.435693199979141,15.435693199979141,15.435693199979141,15.435693199979141,15.435693199979141,15.435693199979141,15.435693199979141,15.425421299994923,15.425457899982575,15.435693199979141,15.591473700013012,15.580134699994233,15.58368680003332,15.591473700013012,15.591473700013012,15.591473700013012,15.591473700013012,15.591473700013012,15.591473700013012,15.591473700013012,16.580981699982658,16.591049699985888,16.591049699985888,16.591049699985888,16.591049699985888,16.591049699985888,16.591049699985888,16.8919149999856,j,0.30686100001912564,None,,,,,001,2026-06-16_21h38.16.624,Teamprojekt,,2025.1.0,89.98097805971082,2026-06-16 21h38.20.045940 +0200,
2,2,0,Portal,0,j,0.2646085000014864,None,,,,,,,,,0,2,2,0,17.702575900009833,,19.9585950000328,19.96874680003384,20.7586694000056,,,,,,,,,#984EA3,LR,17.695823799993377,17.702575900009833,17.702575900009833,17.702575900009833,17.702575900009833,17.702575900009833,17.702575900009833,17.702575900009833,18.703703499981202,18.703703499981202,18.703703499981202,18.703703499981202,18.703703499981202,18.703703499981202,18.703703499981202,18.691355100017972,18.69139599998016,18.703703499981202,18.703703499981202,18.691491200006567,18.69523220002884,18.703703499981202,18.703703499981202,18.703703499981202,18.703703499981202,18.703703499981202,18.703703499981202,18.703703499981202,19.691092499997467,19.70319670002209,19.70319670002209,19.70319670002209,19.70319670002209,19.70319670002209,19.70319670002209,19.95848010003101,j,0.2646085000014864,None,,,,,001,2026-06-16_21h38.16.624,Teamprojekt,,2025.1.0,89.98097805971082,2026-06-16 21h38.20.045940 +0200,
