thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,InstructionScreen.stopped,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,keyPractice.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,keyStart.keys,keyStart.rt,keyStart.duration,StartScreen.stopped,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,key_resp.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,blockBreak.started,keyBlockContinue.started,textBlockInstructions.started,blockBreak.stopped,blockLoop.keyBlockContinue.keys,blockLoop.keyBlockContinue.rt,blockLoop.keyBlockContinue.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004845599993132055,0.009013000002596527,1.002473899978213,space,0.8124027000158094,None,1.8247107000206597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h42.28.547,Teamprojekt,,2025.1.0,87.40135663170136,2026-06-16 21h42.33.186279 +0200,
0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1.8344588000327349,,,,,,,,,LR,1.8258586000301875,1.8344588000327349,1.8344588000327349,1.8344588000327349,1.8344588000327349,2.0350334999966435,2.0350334999966435,2.0350334999966435,2.0350334999966435,2.024462200002745,2.024902499979362,2.0350334999966435,2.0350334999966435,2.0350334999966435,2.0350334999966435,2.2343401000252925,2.2343401000252925,2.2343401000252925,2.2343401000252925,2.2249061000184156,2.2249381000292487,2.2343401000252925,3.0348320999764837,3.0243906999821775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h42.28.547,Teamprojekt,,2025.1.0,87.40135663170136,2026-06-16 21h42.33.186279 +0200,
1,0,1,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,3.0348320999764837,,,,,,,,,LR,3.0249774000258185,3.0348320999764837,3.0348320999764837,3.0348320999764837,3.0348320999764837,3.2352855000062846,3.2352855000062846,3.2352855000062846,3.2352855000062846,3.2244141999981366,3.2248587000067346,3.2352855000062846,3.2352855000062846,3.2352855000062846,3.2352855000062846,3.435011800029315,3.435011800029315,3.435011800029315,3.435011800029315,3.4245123000000603,3.4245593000086956,3.435011800029315,4.235293000005186,4.223546700028237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h42.28.547,Teamprojekt,,2025.1.0,87.40135663170136,2026-06-16 21h42.33.186279 +0200,
2,0,2,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,4.235293000005186,,,,,,,,,RL,4.224043500027619,4.235293000005186,4.235293000005186,4.235293000005186,4.235293000005186,4.434917000005953,4.434917000005953,4.434917000005953,4.434917000005953,4.4243509999942034,4.424807799980044,4.434917000005953,4.434917000005953,4.434917000005953,4.434917000005953,4.6352106999838725,4.6352106999838725,4.6352106999838725,4.6352106999838725,4.623839900013991,4.623872000025585,4.6352106999838725,,5.424211699981242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h42.28.547,Teamprojekt,,2025.1.0,87.40135663170136,2026-06-16 21h42.33.186279 +0200,
3,0,3,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,5.434156599978451,,,,,,,,,LR,5.424907099979464,5.434156599978451,5.434156599978451,5.434156599978451,5.434156599978451,5.6342065000208095,5.6342065000208095,5.6342065000208095,5.6342065000208095,5.623686000006273,5.624056499975268,5.6342065000208095,5.6342065000208095,5.6342065000208095,5.6342065000208095,5.8351293000159785,5.8351293000159785,5.8351293000159785,5.8351293000159785,5.824347299989313,5.824394299997948,5.8351293000159785,6.6344014999922365,6.624535300012212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h42.28.547,Teamprojekt,,2025.1.0,87.40135663170136,2026-06-16 21h42.33.186279 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.624637899978552,6.6344014999922365,7.123995100031607,13.902050999982748,space,6.769726800033823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h42.28.547,Teamprojekt,,2025.1.0,87.40135663170136,2026-06-16 21h42.33.186279 +0200,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,13.9116001999937,,,,,,,,,RL,13.902992499992251,13.9116001999937,13.9116001999937,13.9116001999937,13.9116001999937,14.112788500031456,14.112788500031456,14.112788500031456,14.112788500031456,14.100839000020642,14.257218400016427,14.267088900029194,14.267088900029194,14.267088900029194,14.267088900029194,14.468048400012776,14.468048400012776,14.468048400012776,14.468048400012776,14.457292600010987,14.457339200016577,14.468048400012776,,15.258228900027461,,,,,,,,14.10087189998012,14.112788500031456,14.267088900029194,14.256848799996078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h42.28.547,Teamprojekt,,2025.1.0,87.40135663170136,2026-06-16 21h42.33.186279 +0200,
1,0,1,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,15.267249000025913,,,,,,,,,LR,15.259426000004169,15.267249000025913,15.267249000025913,15.267249000025913,15.267249000025913,15.468266599986237,15.468266599986237,15.468266599986237,15.468266599986237,15.456370599975344,15.612507599988021,15.622636499989312,15.622636499989312,15.622636499989312,15.622636499989312,15.823772299976554,15.823772299976554,15.823772299976554,15.823772299976554,15.812980999995489,15.813030700024683,15.823772299976554,16.622655500017572,16.612147799984086,,,,,,,,15.456413300009444,15.468266599986237,15.622636499989312,15.611871599976439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h42.28.547,Teamprojekt,,2025.1.0,87.40135663170136,2026-06-16 21h42.33.186279 +0200,
2,0,2,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,16.622655500017572,,,,,,,,,LR,16.61284469999373,16.622655500017572,16.622655500017572,16.622655500017572,16.622655500017572,16.823196200013626,16.823196200013626,16.823196200013626,16.823196200013626,16.811849099991377,16.967895500012673,16.978262400021777,16.978262400021777,16.978262400021777,16.978262400021777,17.178770700003952,17.178770700003952,17.178770700003952,17.178770700003952,17.16726750001544,17.167301599984057,17.178770700003952,,17.968122499994934,,,,,,,,16.811881300003733,16.823196200013626,16.978262400021777,16.967371199978516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h42.28.547,Teamprojekt,,2025.1.0,87.40135663170136,2026-06-16 21h42.33.186279 +0200,
3,0,3,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,17.97797599999467,,,,,,,,,RL,17.968810599995777,17.97797599999467,17.97797599999467,17.97797599999467,17.97797599999467,18.177942599984817,18.177942599984817,18.177942599984817,18.177942599984817,18.168367700011004,18.323150800017174,18.333527399983723,18.333527399983723,18.333527399983723,18.333527399983723,18.534493800019845,18.534493800019845,18.534493800019845,18.534493800019845,18.522770099982154,18.5228149999748,18.534493800019845,,19.323542600031942,,,,,,,,18.168421300011687,18.177942599984817,18.333527399983723,18.32271729997592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_21h42.28.547,Teamprojekt,,2025.1.0,87.40135663170136,2026-06-16 21h42.33.186279 +0200,
