thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.004669100046157837,0.015297100006137043,0.9979697000235319,1.031374300015159,space,0.023519699985627085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h00.27.874,Teamprojekt,,2025.1.0,90.57052185253163,2026-06-16 22h00.31.902806 +0200,
0,0,0,,,0,0,0,0,,,,,,,,,1.0423297000234015,,,,,,,,,LR,1.03209799999604,1.0423297000234015,1.0423297000234015,1.0423297000234015,1.0423297000234015,1.2423388000461273,1.2423388000461273,1.2423388000461273,1.2423388000461273,1.2314382000477053,1.2317526999977417,1.2423388000461273,1.2423388000461273,1.2423388000461273,1.2423388000461273,1.4423318000044674,1.4423318000044674,1.4423318000044674,1.4423318000044674,1.4327722000307404,1.4328342000371777,1.4423318000044674,2.2431810999987647,2.2314814000274055,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h00.27.874,Teamprojekt,,2025.1.0,90.57052185253163,2026-06-16 22h00.31.902806 +0200,
1,0,1,,,1,0,1,0,,,,,,,,,2.2431810999987647,,,,,,,,,RL,2.2320632000337355,2.2431810999987647,2.2431810999987647,2.2431810999987647,2.2431810999987647,2.4431875000009313,2.4431875000009313,2.4431875000009313,2.4431875000009313,2.4325014000060037,2.4330700000282377,2.4431875000009313,2.4431875000009313,2.4431875000009313,2.4431875000009313,2.6423644000315107,2.6423644000315107,2.6423644000315107,2.6423644000315107,2.6328786000376567,2.6329376000212505,2.6423644000315107,3.4429438000079244,3.431212800031062,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h00.27.874,Teamprojekt,,2025.1.0,90.57052185253163,2026-06-16 22h00.31.902806 +0200,
2,0,2,,,2,0,2,0,,,,,,,,,3.4429438000079244,,,,,,,,,LR,3.4316824999987148,3.4429438000079244,3.4429438000079244,3.4429438000079244,3.4429438000079244,3.642525800038129,3.642525800038129,3.642525800038129,3.642525800038129,3.632451600045897,3.6329167000367306,3.642525800038129,3.642525800038129,3.642525800038129,3.642525800038129,3.8425004000309855,3.8425004000309855,3.8425004000309855,3.8425004000309855,3.8317015999928117,3.8317580000148155,3.8425004000309855,,4.632089000020642,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h00.27.874,Teamprojekt,,2025.1.0,90.57052185253163,2026-06-16 22h00.31.902806 +0200,
3,0,3,,,3,0,3,0,,,,,,,,,4.642151200037915,,,,,,,,,LR,4.632935100002214,4.642151200037915,4.642151200037915,4.642151200037915,4.642151200037915,4.84221480000997,4.84221480000997,4.84221480000997,4.84221480000997,4.8324326000292785,4.833120300027076,4.84221480000997,4.84221480000997,4.84221480000997,4.84221480000997,5.042299300024752,5.042299300024752,5.042299300024752,5.042299300024752,5.031624600000214,5.0316839000443,5.042299300024752,,5.832036000036169,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h00.27.874,Teamprojekt,,2025.1.0,90.57052185253163,2026-06-16 22h00.31.902806 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.832181100035086,5.8426917000324465,6.331884500046726,6.6210640000062995,space,0.28250390000175685,None,,,,,,,,,,,,,001,2026-06-16_22h00.27.874,Teamprojekt,,2025.1.0,90.57052185253163,2026-06-16 22h00.31.902806 +0200,
0,0,0,,,,,,,0,0,0,0,,,,,6.6310104000149295,,,,,,,,,RL,6.622000000032131,6.6310104000149295,6.6310104000149295,6.6310104000149295,6.6310104000149295,6.831083299999591,6.831083299999591,6.831083299999591,6.831083299999591,6.821145199995954,6.975903400045354,6.986589100037236,6.986589100037236,6.986589100037236,6.986589100037236,7.186371100018732,7.186371100018732,7.186371100018732,7.186371100018732,7.176587500027381,7.176632900023833,7.186371100018732,,7.976838500006124,,,,,,,,6.821202600025572,6.831083299999591,6.986589100037236,6.97547130001476,,,,,,,,,001,2026-06-16_22h00.27.874,Teamprojekt,,2025.1.0,90.57052185253163,2026-06-16 22h00.31.902806 +0200,
1,0,1,,,,,,,1,0,1,0,,,,,7.98671240004478,,,,,,,,,LR,7.977704800025094,7.98671240004478,7.98671240004478,7.98671240004478,7.98671240004478,8.186519400042016,8.186519400042016,8.186519400042016,8.186519400042016,8.175593900028616,8.332527000049595,8.341953499999363,8.341953499999363,8.341953499999363,8.341953499999363,8.542956800025422,8.542956800025422,8.542956800025422,8.542956800025422,8.531560800038278,8.53159530000994,8.542956800025422,,9.331831599993166,,,,,,,,8.175638600019738,8.186519400042016,8.341953499999363,8.33207790000597,,,,,,,,,001,2026-06-16_22h00.27.874,Teamprojekt,,2025.1.0,90.57052185253163,2026-06-16 22h00.31.902806 +0200,
2,0,2,,,,,,,2,0,2,0,,,,,9.342211900046095,,,,,,,,,LR,9.3325557000353,9.342211900046095,9.342211900046095,9.342211900046095,9.342211900046095,9.54209380003158,9.54209380003158,9.54209380003158,9.54209380003158,9.531159000005573,9.687040599994361,9.698459900042508,9.698459900042508,9.698459900042508,9.698459900042508,9.897372800041921,9.897372800041921,9.897372800041921,9.897372800041921,9.886516200029291,9.886554100026842,9.897372800041921,,10.68700080004055,,,,,,,,9.53119200002402,9.54209380003158,9.698459900042508,9.68654590001097,,,,,,,,,001,2026-06-16_22h00.27.874,Teamprojekt,,2025.1.0,90.57052185253163,2026-06-16 22h00.31.902806 +0200,
3,0,3,,,,,,,3,0,3,0,,,,,10.698312100023031,,,,,,,,,RL,10.687670500017703,10.698312100023031,10.698312100023031,10.698312100023031,10.698312100023031,10.898276399995666,10.898276399995666,10.898276399995666,10.898276399995666,10.887401100015268,11.043615800037514,11.053553900041152,11.053553900041152,11.053553900041152,11.053553900041152,11.252891700016335,11.252891700016335,11.252891700016335,11.252891700016335,11.243041900044773,11.243098200007807,11.252891700016335,12.053888600028586,12.041897599992808,,,,,,,,10.887433600029908,10.898276399995666,11.053553900041152,11.043155100021977,,,,,,,,,001,2026-06-16_22h00.27.874,Teamprojekt,,2025.1.0,90.57052185253163,2026-06-16 22h00.31.902806 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.041983200004324,12.053888600028586,12.54172690003179,12.643052300030831,space,0.09337969997432083,None,,001,2026-06-16_22h00.27.874,Teamprojekt,,2025.1.0,90.57052185253163,2026-06-16 22h00.31.902806 +0200,
0,0,0,Barrier,0.08,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
