thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,blank800.stopped,FixationCrossBlank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.005897499970160425,0.01257279998390004,0.9967465999652632,1.530215099977795,space,0.5275805999990553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h02.13.031,Teamprojekt,,2025.1.0,84.76041622346573,2026-06-16 22h02.17.139585 +0200,
0,0,0,,,0,0,0,0,,,,,,,,,1.5412759999744594,,,,,,,,,RL,1.531057599990163,1.5412759999744594,1.5412759999744594,1.5412759999744594,1.5412759999744594,1.7420856999815442,1.7420856999815442,1.7420856999815442,1.7420856999815442,1.7296751999529079,1.7300773999886587,1.7420856999815442,1.7420856999815442,1.7420856999815442,1.7420856999815442,1.9404804999940097,1.9404804999940097,1.9404804999940097,1.9404804999940097,1.92988269997295,1.9299255999503657,1.9404804999940097,2.7307897999999113,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h02.13.031,Teamprojekt,,2025.1.0,84.76041622346573,2026-06-16 22h02.17.139585 +0200,
1,0,1,,,1,0,1,0,,,,,,,,,2.740739799977746,,,,,,,,,RL,2.731282699969597,2.740739799977746,2.740739799977746,2.740739799977746,2.740739799977746,2.941623799968511,2.941623799968511,2.941623799968511,2.941623799968511,2.93079219997162,2.931205899978522,2.941623799968511,2.941623799968511,2.941623799968511,2.941623799968511,3.1405086999875493,3.1405086999875493,3.1405086999875493,3.1405086999875493,3.130844499974046,3.1309029999538325,3.1405086999875493,3.9294870999874547,3.9404198999982327,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h02.13.031,Teamprojekt,,2025.1.0,84.76041622346573,2026-06-16 22h02.17.139585 +0200,
2,0,2,,,2,0,2,0,,,,,,,,,3.9404198999982327,,,,,,,,,RL,3.9299674999783747,3.9404198999982327,3.9404198999982327,3.9404198999982327,3.9404198999982327,4.141293599968776,4.141293599968776,4.141293599968776,4.141293599968776,4.12957719998667,4.130014199996367,4.141293599968776,4.141293599968776,4.141293599968776,4.141293599968776,4.341809999954421,4.341809999954421,4.341809999954421,4.341809999954421,4.329780899977777,4.329829900001641,4.341809999954421,5.129851599980611,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h02.13.031,Teamprojekt,,2025.1.0,84.76041622346573,2026-06-16 22h02.17.139585 +0200,
3,0,3,,,3,0,3,0,,,,,,,,,5.14160669996636,,,,,,,,,RL,5.130374100001063,5.14160669996636,5.14160669996636,5.14160669996636,5.14160669996636,5.3409841999528,5.3409841999528,5.3409841999528,5.3409841999528,5.329782399989199,5.330144599953201,5.3409841999528,5.3409841999528,5.3409841999528,5.3409841999528,5.540467599988915,5.540467599988915,5.540467599988915,5.540467599988915,5.529652899946086,5.5296994999516755,5.540467599988915,6.329372399952263,6.340641599963419,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h02.13.031,Teamprojekt,,2025.1.0,84.76041622346573,2026-06-16 22h02.17.139585 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.329454999999143,6.340641599963419,6.830052599951159,7.28611289995024,space,0.44631819997448474,None,,,,,,,,,,,,,001,2026-06-16_22h02.13.031,Teamprojekt,,2025.1.0,84.76041622346573,2026-06-16 22h02.17.139585 +0200,
0,0,0,,,,,,,0,0,0,0,,,,,7.2966775999520905,,,,,,,,,RL,7.286805899988394,7.2966775999520905,7.2966775999520905,7.2966775999520905,7.2966775999520905,7.496142599964514,7.496142599964514,7.496142599964514,7.496142599964514,7.484910899947863,7.6414472999749705,7.652009499957785,7.652009499957785,7.652009499957785,7.652009499957785,7.851962799963076,7.851962799963076,7.851962799963076,7.851962799963076,7.841108999971766,7.841160899959505,7.851962799963076,8.640459499962162,8.651794599951245,,,,,,,,7.484940700000152,7.496142599964514,7.652009499957785,7.64101749996189,,,,,,,,,001,2026-06-16_22h02.13.031,Teamprojekt,,2025.1.0,84.76041622346573,2026-06-16 22h02.17.139585 +0200,
1,0,1,,,,,,,1,0,1,0,,,,,8.651794599951245,,,,,,,,,RL,8.640987999970093,8.651794599951245,8.651794599951245,8.651794599951245,8.651794599951245,8.851233800000045,8.851233800000045,8.851233800000045,8.851233800000045,8.840849199972581,8.998193199979141,9.00690300000133,9.00690300000133,9.00690300000133,9.00690300000133,9.207949099945836,9.207949099945836,9.207949099945836,9.207949099945836,9.197149799962062,9.197198099980596,9.207949099945836,9.99691459996393,10.007626199978404,,,,,,,,8.84090179996565,8.851233800000045,9.00690300000133,8.997686499962583,,,,,,,,,001,2026-06-16_22h02.13.031,Teamprojekt,,2025.1.0,84.76041622346573,2026-06-16 22h02.17.139585 +0200,
2,0,2,,,,,,,2,0,2,0,,,,,10.007626199978404,,,,,,,,,LR,9.997429399983957,10.007626199978404,10.007626199978404,10.007626199978404,10.007626199978404,10.207433499977924,10.207433499977924,10.207433499977924,10.207433499977924,10.19598739995854,10.351700799947139,10.363269199966453,10.363269199966453,10.363269199966453,10.363269199966453,10.56362029997399,10.56362029997399,10.56362029997399,10.56362029997399,10.552291599975433,10.552336999971885,10.56362029997399,11.351941399974748,11.362642799969763,,,,,,,,10.19601989997318,10.207433499977924,10.363269199966453,10.3513461999828,,,,,,,,,001,2026-06-16_22h02.13.031,Teamprojekt,,2025.1.0,84.76041622346573,2026-06-16 22h02.17.139585 +0200,
3,0,3,,,,,,,3,0,3,0,,,,,11.362642799969763,,,,,,,,,LR,11.352543199958745,11.362642799969763,11.362642799969763,11.362642799969763,11.362642799969763,11.562854199961293,11.562854199961293,11.562854199961293,11.562854199961293,11.552179499994963,11.707569399964996,11.718698299955577,11.718698299955577,11.718698299955577,11.718698299955577,11.917791399988346,11.917791399988346,11.917791399988346,11.917791399988346,11.906891699996777,11.906923199945595,11.917791399988346,12.707248199963942,,,,,,,,,11.552224799990654,11.562854199961293,11.718698299955577,11.707067899988033,,,,,,,,,001,2026-06-16_22h02.13.031,Teamprojekt,,2025.1.0,84.76041622346573,2026-06-16 22h02.17.139585 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.70739609998418,12.717812899965793,13.20725689997198,13.473990099970251,space,0.2649985000025481,None,,001,2026-06-16_22h02.13.031,Teamprojekt,,2025.1.0,84.76041622346573,2026-06-16 22h02.17.139585 +0200,
0,0,0,Standard,0.08,,,,,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
