thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,keyPractice.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.003413100028410554,0.01485450001200661,0.9972375999786891,1.3863665999961086,space,0.37878420000197366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h19.40.699,Teamprojekt,,2025.1.0,88.7561097571267,2026-06-16 22h19.52.713695 +0200,
0,0,0,,,,,,0,0,0,0,,,,,,,,,1.3982950000208803,,,,,,,,,RL,1.3870670000324026,1.3982950000208803,1.3982950000208803,1.3982950000208803,1.3982950000208803,1.597279699984938,1.597279699984938,1.597279699984938,1.597279699984938,1.586719200015068,1.5870683999964967,1.597279699984938,1.597279699984938,1.597279699984938,1.597279699984938,1.7974060000269674,1.7974060000269674,1.7974060000269674,1.7974060000269674,1.7880026000202633,1.7880470000091009,1.7974060000269674,2.597648399998434,2.5868716000113636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h19.40.699,Teamprojekt,,2025.1.0,88.7561097571267,2026-06-16 22h19.52.713695 +0200,
1,0,1,,,,,,1,0,1,0,,,,,,,,,2.597648399998434,,,,,,,,,LR,2.587382500001695,2.597648399998434,2.597648399998434,2.597648399998434,2.597648399998434,2.798191500012763,2.798191500012763,2.798191500012763,2.798191500012763,2.7862381000304595,2.786601400002837,2.798191500012763,2.798191500012763,2.798191500012763,2.798191500012763,2.998431799991522,2.998431799991522,2.998431799991522,2.998431799991522,2.9869158000219613,2.986948299978394,2.998431799991522,3.7976835999870673,3.7861374000203796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h19.40.699,Teamprojekt,,2025.1.0,88.7561097571267,2026-06-16 22h19.52.713695 +0200,
2,0,2,,,,,,2,0,2,0,,,,,,,,,3.7976835999870673,,,,,,,,,RL,3.78661990002729,3.7976835999870673,3.7976835999870673,3.7976835999870673,3.7976835999870673,3.998112700006459,3.998112700006459,3.998112700006459,3.998112700006459,3.9867506999871694,3.9870837000198662,3.998112700006459,3.998112700006459,3.998112700006459,3.998112700006459,4.197449800034519,4.197449800034519,4.197449800034519,4.197449800034519,4.187349800020456,4.187398899986874,4.197449800034519,4.9980776000302285,4.9869730999926105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h19.40.699,Teamprojekt,,2025.1.0,88.7561097571267,2026-06-16 22h19.52.713695 +0200,
3,0,3,,,,,,3,0,3,0,,,,,,,,,4.9980776000302285,,,,,,,,,RL,4.987474200024735,4.9980776000302285,4.9980776000302285,4.9980776000302285,4.9980776000302285,5.197121699980926,5.197121699980926,5.197121699980926,5.197121699980926,5.187863700033631,5.188462799997069,5.197121699980926,5.197121699980926,5.197121699980926,5.197121699980926,5.398142100020777,5.398142100020777,5.398142100020777,5.398142100020777,5.386165599978995,5.3861979999928735,5.398142100020777,,6.18689519999316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h19.40.699,Teamprojekt,,2025.1.0,88.7561097571267,2026-06-16 22h19.52.713695 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.187034600006882,6.19705720001366,6.685879900003783,8.520415999984834,space,1.831860999984201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h19.40.699,Teamprojekt,,2025.1.0,88.7561097571267,2026-06-16 22h19.52.713695 +0200,
0,0,0,,,,,,,,,,0,0,0,0,,,,,8.53124330000719,,,,,,,,,RL,8.521118299977388,8.53124330000719,8.53124330000719,8.53124330000719,8.53124330000719,8.73018770001363,8.73018770001363,8.73018770001363,8.73018770001363,8.71957030001795,8.876947799988557,8.886621100013144,8.886621100013144,8.886621100013144,8.886621100013144,9.085760599991772,9.085760599991772,9.085760599991772,9.085760599991772,9.07543430000078,9.075465800007805,9.085760599991772,9.885668400034774,9.874825300008524,,,,,,,,8.719614300003741,8.73018770001363,8.886621100013144,8.876302300021052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h19.40.699,Teamprojekt,,2025.1.0,88.7561097571267,2026-06-16 22h19.52.713695 +0200,
1,0,1,,,,,,,,,,1,0,1,0,,,,,9.885668400034774,,,,,,,,,LR,9.87560269999085,9.885668400034774,9.885668400034774,9.885668400034774,9.885668400034774,10.08563210000284,10.08563210000284,10.08563210000284,10.08563210000284,10.075962600007188,10.230792200018186,10.24118469998939,10.24118469998939,10.24118469998939,10.24118469998939,10.441127600031905,10.441127600031905,10.441127600031905,10.441127600031905,10.431663000024855,10.43171189998975,10.441127600031905,11.241614300000947,11.230386700015515,,,,,,,,10.076044699992053,10.08563210000284,10.24118469998939,10.230318300018553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h19.40.699,Teamprojekt,,2025.1.0,88.7561097571267,2026-06-16 22h19.52.713695 +0200,
2,0,2,,,,,,,,,,2,0,2,0,,,,,11.241614300000947,,,,,,,,,RL,11.230866600002628,11.241614300000947,11.241614300000947,11.241614300000947,11.241614300000947,11.441173000028357,11.441173000028357,11.441173000028357,11.441173000028357,11.430294000019785,11.586072999984026,11.597533799998928,11.597533799998928,11.597533799998928,11.597533799998928,11.796733100025449,11.796733100025449,11.796733100025449,11.796733100025449,11.787062800023705,11.787103199982084,11.796733100025449,12.597801900003105,12.586703500011936,,,,,,,,11.430324900022242,11.441173000028357,11.597533799998928,11.58571800001664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h19.40.699,Teamprojekt,,2025.1.0,88.7561097571267,2026-06-16 22h19.52.713695 +0200,
3,0,3,,,,,,,,,,3,0,3,0,,,,,12.597801900003105,,,,,,,,,LR,12.587267199996859,12.597801900003105,12.597801900003105,12.597801900003105,12.597801900003105,12.797648300009314,12.797648300009314,12.797648300009314,12.797648300009314,12.78684900002554,12.944046000018716,12.953157300013117,12.953157300013117,12.953157300013117,12.953157300013117,13.153103800024837,13.153103800024837,13.153103800024837,13.153103800024837,13.14284470002167,13.142877899983432,13.153103800024837,13.953058000013698,13.941212000034284,,,,,,,,12.786882199987303,12.797648300009314,12.953157300013117,12.943661400000565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h19.40.699,Teamprojekt,,2025.1.0,88.7561097571267,2026-06-16 22h19.52.713695 +0200,
