thisN,thisTrialN,thisRepN,conditions_practice,ISI_practice,keyPractice.keys,keyPractice.rt,keyPractice.duration,condition,interstim_interval,key_resp.keys,key_resp.rt,key_resp.duration,elementMotionDemo.thisRepN,elementMotionDemo.thisTrialN,elementMotionDemo.thisN,elementMotionDemo.thisIndex,groupMotionDemo.thisRepN,groupMotionDemo.thisTrialN,groupMotionDemo.thisN,groupMotionDemo.thisIndex,practiceLoop.thisRepN,practiceLoop.thisTrialN,practiceLoop.thisN,practiceLoop.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,thisRow.t,notes,InstructionScreen.started,textInstructions.started,keyInstructionContinue.started,InstructionScreen.stopped,keyInstructionContinue.keys,keyInstructionContinue.rt,keyInstructionContinue.duration,direction,exampleFrame1.started,ternusExampleLeft.started,ternusExampleMiddle.started,ternusExampleRight.started,FixationCrossExample.started,ternusExampleLeft.stopped,ternusExampleMiddle.stopped,ternusExampleRight.stopped,FixationCrossExample.stopped,exampleFrame1.stopped,exampleFrame2.started,ternusExampleLeft_2.started,ternusExampleMiddle_2.started,ternusExampleRight_2.started,FixationCrossExample_2.started,ternusExampleLeft_2.stopped,ternusExampleMiddle_2.stopped,ternusExampleRight_2.stopped,FixationCrossExample_2.stopped,exampleFrame2.stopped,blank800.started,FixationCrossBlank800.started,FixationCrossBlank800.stopped,blank800.stopped,elementMotionExplained.started,textElementMotion.started,keyElementMotionExplained.started,elementMotionExplained.stopped,keyElementMotionExplained.keys,keyElementMotionExplained.rt,keyElementMotionExplained.duration,blank160.started,FixationCrossBlank160.started,FixationCrossBlank160.stopped,blank160.stopped,groupMotionExplained.started,textGroupMotion.started,keyGroupMotionExplained.started,groupMotionExplained.stopped,keyGroupMotionExplained.keys,keyGroupMotionExplained.rt,keyGroupMotionExplained.duration,causalColor,practiceFrame1.started,ternusObjLeftPrac.started,ternusObjMiddlePrac.started,ternusObjRightPrac.started,FixationCrossPrac.started,portalLeftPrac.started,portalRightPrac.started,BarrierPrac.started,ternusObjLeftPrac.stopped,ternusObjMiddlePrac.stopped,ternusObjRightPrac.stopped,FixationCrossPrac.stopped,portalLeftPrac.stopped,portalRightPrac.stopped,BarrierPrac.stopped,practiceFrame1.stopped,blankISI_Practice.started,FixationCrossBlankPractice.started,FixationCrossBlankPractice.stopped,blankISI_Practice.stopped,practiceFrame2.started,ternusObjLeftPrac_2.started,ternusObjMiddlePrac_2.started,ternusObjRightPrac_2.started,FixationCrossPrac_2.started,portalLeftPrac_2.started,portalRightPrac_2.started,BarrierPrac_2.started,keyPractice.started,ternusObjLeftPrac_2.stopped,ternusObjMiddlePrac_2.stopped,ternusObjRightPrac_2.stopped,portalLeftPrac_2.stopped,portalRightPrac_2.stopped,BarrierPrac_2.stopped,practiceFrame2.stopped,practiceLoop.keyPractice.keys,practiceLoop.keyPractice.rt,practiceLoop.keyPractice.duration,StartScreen.started,textStartMessage.started,keyStart.started,StartScreen.stopped,keyStart.keys,keyStart.rt,keyStart.duration,ternusFrame1.started,ternusObjLeft.started,ternusObjMiddle.started,ternusObjRight.started,FixationCross.started,portalLeft.started,portalRight.started,Barrier.started,ternusObjLeft.stopped,ternusObjMiddle.stopped,ternusObjRight.stopped,FixationCross.stopped,portalLeft.stopped,portalRight.stopped,Barrier.stopped,ternusFrame1.stopped,blankISI.started,FixationCrossBlank.started,FixationCrossBlank.stopped,blankISI.stopped,ternusFrame2.started,ternusObjLeft_2.started,ternusObjMiddle_2.started,ternusObjRight_2.started,FixationCross_2.started,portalLeft_2.started,portalRight_2.started,Barrier_2.started,key_resp.started,ternusObjLeft_2.stopped,ternusObjMiddle_2.stopped,ternusObjRight_2.stopped,portalLeft_2.stopped,portalRight_2.stopped,Barrier_2.stopped,ternusFrame2.stopped,trialLoop.key_resp.keys,trialLoop.key_resp.rt,trialLoop.key_resp.duration,blockBreak.started,keyBlockContinue.started,textBlockInstructions.started,blockBreak.stopped,blockLoop.keyBlockContinue.keys,blockLoop.keyBlockContinue.rt,blockLoop.keyBlockContinue.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003117399988695979,0.00686119997408241,0.9982601999654435,1.153407400008291,space,0.1520439999876544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
0,0,0,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,1.1641393000027165,,,,,,,,,RL,1.1541264000115916,1.1641393000027165,1.1641393000027165,1.1641393000027165,1.1641393000027165,1.3646148999687284,1.3646148999687284,1.3646148999687284,1.3646148999687284,1.3532651999848895,1.3535749999573454,1.3646148999687284,1.3646148999687284,1.3646148999687284,1.3646148999687284,1.5662139999913052,1.5662139999913052,1.5662139999913052,1.5662139999913052,1.5542196999886073,1.5542712999740615,1.5662139999913052,2.364064099965617,2.35359499999322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
1,0,1,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,2.364064099965617,,,,,,,,,RL,2.354160499991849,2.364064099965617,2.364064099965617,2.364064099965617,2.364064099965617,2.5650872999685816,2.5650872999685816,2.5650872999685816,2.5650872999685816,2.5538328000111505,2.554173599986825,2.5650872999685816,2.5650872999685816,2.5650872999685816,2.5650872999685816,2.765349499997683,2.765349499997683,2.765349499997683,2.765349499997683,2.7545035000075586,2.7545355999609455,2.765349499997683,,3.5546892000129446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
2,0,2,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,3.5640375000075437,,,,,,,,,RL,3.5563308999990113,3.5640375000075437,3.5640375000075437,3.5640375000075437,3.5640375000075437,3.765086999977939,3.765086999977939,3.765086999977939,3.765086999977939,3.7539219000027515,3.7542597000137903,3.765086999977939,3.765086999977939,3.765086999977939,3.765086999977939,3.964115499984473,3.964115499984473,3.964115499984473,3.964115499984473,3.953454700007569,3.953487899969332,3.964115499984473,4.764975099998992,4.7532046000123955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
3,0,3,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,4.764975099998992,,,,,,,,,LR,4.753690799989272,4.764975099998992,4.764975099998992,4.764975099998992,4.764975099998992,4.965066400007345,4.965066400007345,4.965066400007345,4.965066400007345,4.953120499965735,4.953450999979395,4.965066400007345,4.965066400007345,4.965066400007345,4.965066400007345,5.164078300003894,5.164078300003894,5.164078300003894,5.164078300003894,5.154373599973042,5.154432999959681,5.164078300003894,5.964461199997459,5.953171600005589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.953308199997991,5.964461199997459,6.452786299982108,6.55300359998364,space,0.09630829998059198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,6.564040399971418,,,,,,,,,LR,6.553648600005545,6.564040399971418,6.564040399971418,6.564040399971418,6.564040399971418,6.764870999963023,6.764870999963023,6.764870999963023,6.764870999963023,6.752968699962366,6.909445700002834,6.9194076000130735,6.9194076000130735,6.9194076000130735,6.9194076000130735,7.11939899995923,7.11939899995923,7.11939899995923,7.11939899995923,7.10853580001276,7.108568799973,7.11939899995923,,7.9097537999623455,,,,,,,,6.752999199961778,6.764870999963023,6.9194076000130735,6.908958199957851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
1,0,1,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,7.919372699980158,,,,,,,,,LR,7.910577800008468,7.919372699980158,7.919372699980158,7.919372699980158,7.919372699980158,8.1200132999802,8.1200132999802,8.1200132999802,8.1200132999802,8.109026799967978,8.264297699963208,8.274931699968874,8.274931699968874,8.274931699968874,8.274931699968874,8.475642199977301,8.475642199977301,8.475642199977301,8.475642199977301,8.464013799966779,8.46404639998218,8.475642199977301,,9.265036099997815,,,,,,,,8.109058599977288,8.1200132999802,8.274931699968874,8.263960400014184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
2,0,2,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,9.27589629997965,,,,,,,,,LR,9.265927399974316,9.27589629997965,9.27589629997965,9.27589629997965,9.27589629997965,9.47539819998201,9.47539819998201,9.47539819998201,9.47539819998201,9.464070199988782,9.620938799984287,9.630521899962332,9.630521899962332,9.630521899962332,9.630521899962332,9.831453199964017,9.831453199964017,9.831453199964017,9.831453199964017,9.819759499980137,9.819821399985813,9.831453199964017,,10.620093200006522,,,,,,,,9.464103100006469,9.47539819998201,9.630521899962332,9.620587799989153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
3,0,3,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,10.630456499988213,,,,,,,,,RL,10.620752199960407,10.630456499988213,10.630456499988213,10.630456499988213,10.630456499988213,10.831524199980777,10.831524199980777,10.831524199980777,10.831524199980777,10.81972119997954,10.975400399998762,10.986445699993055,10.986445699993055,10.986445699993055,10.986445699993055,11.186655799974687,11.186655799974687,11.186655799974687,11.186655799974687,11.17573189997347,11.175764499988873,11.186655799974687,11.986839999968652,11.974988700007088,,,,,,,,10.819857199967373,10.831524199980777,10.986445699993055,10.975051099958364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-06-16_22h25.48.679,Teamprojekt,,2025.1.0,88.63535239229941,2026-06-16 22h25.52.436741 +0200,
